identifier,group,oligomeric_state,lca_phylum,lca_class,lca_order,length
A0A0M3I2L2_IPR045860_1_19-111,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0N4WDH9_IPR045860_1_52-114,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A0N5APA9_IPR045860_1_25-116,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0P6JXP9_IPR016054_1_113-204,Ly6,monomere,Chordata (phylum),Mammalia (class),Boreoeutheria (clade),72-95
A0A0Q5WKQ1_IPR045860_1_126-199,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A0R3RWX0_IPR045860_1_11-114,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A0V1H2S2_IPR045860_1_39-125,none,monomere,Nematoda (phylum),Enoplea (class),Trichinellida (order),72-95
A0A0V1LAQ7_IPR045860_1_915-1007,none,monomere,Nematoda (phylum),Enoplea (class),Trichinellida (order),72-95
A0A131YYH8_IPR045860_1_4-88,none,monomere,Arthropoda (phylum),Arachnida (class),Ixodida (order),72-95
A0A151NAP9_IPR045860_1_18-113,Ly6,mixture,Chordata (phylum),Crocodylia (order),Crocodylia (order),95-117
A0A182C5S7_IPR045860_1_13-79,3FTx,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A193CHL5_IPR045860_1_14-88,3FTx,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A194QIS5_IPR031424_1_25-123,mixture,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),95-117
A0A1A8ED61_IPR045860_1_22-104,none,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A1A8HV91_IPR016054_1_19-111,Ly6,mixture,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A1A8K9T1_IPR045860_1_2-55,mostly_Ly6,monomere,Chordata (phylum),Euteleostomi (clade),Euteleostomi (clade),50-72
A0A1A8REK8_IPR045860_1_27-133,none,monomere,Chordata (phylum),Actinopteri (class),Euteleosteomorpha (cohort),95-117
A0A1A9VCB5_IPR045860_1_60-167,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A1B0FPH7_IPR045860_1_15-114,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A1B6KVL0_IPR045860_1_21-120,Ly6,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A1D1V2H0_IPR045860_1_20-126,none,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),95-117
A0A1I7RXX2_IPR045860_1_102-174,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A1I7ZEJ7_IPR045860_1_20-103,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A1L8GIU9_IPR016054_1_26-108,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A1S3H382_IPR045860_1_237-319,none,monomere,Brachiopoda (phylum),Lingulata (class),Lingulida (order),72-95
A0A1W0WN91_IPR045860_1_22-116,none,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),95-117
A0A1Y1LHT3_IPR045860_1_64-117,mixture,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),50-72
A0A210QK44_IPR045860_1_26-101,none,monomere,Mollusca (phylum),Bivalvia (class),Pectinida (order),72-95
A0A212FHK2_IPR045860_1_299-380,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),72-95
A0A260ZN67_IPR045860_1_38-98,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A2A6B8J1_IPR045860_1_16-106,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A2B4RLC5_IPR045860_1_29-116,none,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A2C9LI81_IPR045860_1_2353-2423,none,monomere,Mollusca (phylum),Gastropoda (class),Planorbidae (family),50-72
A0A2D4J208_IPR016054_1_25-107,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A2I0TVE1_IPR045860_1_9-62,none,monomere,Chordata (phylum),Aves (class),Charadriiformes (order),50-72
A0A2J8R6V8_IPR045860_1_13-82,mixture,mixture,Chordata (phylum),Mammalia (class),Boreoeutheria (clade),72-95
A0A2K5HV35_IPR045860_1_19-114,none,monomere,Chordata (phylum),Amniota (clade),Amniota (clade),72-95
A0A2K5JC99_IPR016054_1_21-110,mixture,mixture,Chordata (phylum),Mammalia (class),Boreoeutheria (clade),72-95
A0A2L2YJT6_IPR045860_1_7-104,none,monomere,Arthropoda (phylum),Arachnida (class),Araneae (order),95-117
A0A2P1BSU3_IPR045860_1_12-79,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A2R5GYG0_IPR045860_1_30-114,none,monomere,Bigyra (class),Bigyra (class),Thraustochytrida (order),72-95
A0A2T7Q0Q1_IPR045860_1_1-66,none,monomere,Mollusca (phylum),Gastropoda (class),Architaenioglossa (order),50-72
A0A3B3CF22_IPR016054_3_301-375,Ly6,multimere,Chordata (phylum),Actinopteri (class),Beloniformes (order),72-95
A0A3B4BI88_IPR045860_1_42-126,Ly6,monomere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),72-95
A0A3B4D1S8_IPR045860_2_107-184,Ly6,multimere,Chordata (phylum),Actinopteri (class),Characiformes (order),72-95
A0A3B4Z985_IPR045860_1_14-98,none,multimere,Chordata (phylum),Actinopteri (class),Percomorphaceae (clade),72-95
A0A3B5AKG2_IPR045860_1_20-97,none,monomere,Chordata (phylum),Actinopteri (class),Ovalentaria (clade),72-95
A0A3M6URA3_IPR016054_2_20-113,Ly6,mixture,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A3M7QI70_IPR045860_1_21-91,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),50-72
A0A3P8P4T1_IPR045860_1_22-91,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cichliformes (order),50-72
A0A3P8Q115_IPR045860_1_31-144,none,monomere,Chordata (phylum),Actinopteri (class),Ovalentaria (clade),95-117
A0A3P8W2L9_IPR045860_1_20-92,Ly6,monomere,Chordata (phylum),Actinopteri (class),Pleuronectiformes (order),72-95
A0A3P8Z5A0_IPR016054_1_18-114,Ly6,monomere,Chordata (phylum),Actinopteri (class),Esociformes (order),95-117
A0A3P9C561_IPR016054_1_19-100,mixture,multimere,Chordata (phylum),Actinopteri (class),Cichliformes (order),72-95
A0A3P9H3P4_IPR016054_1_14-107,Ly6,multimere,Chordata (phylum),Actinopteri (class),Beloniformes (order),72-95
A0A3Q0R1E3_IPR016054_2_19-106,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cichliformes (order),72-95
A0A3Q2P7V6_IPR045860_1_41-114,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A3Q2ZYG6_IPR016054_1_19-92,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A3Q3BJV2_IPR045860_1_24-90,none,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),50-72
A0A3Q3GI63_IPR016054_1_20-109,mixture,monomere,Chordata (phylum),Actinopteri (class),Eupercaria (clade),72-95
A0A3Q3JNQ6_IPR045860_1_20-100,none,monomere,Chordata (phylum),Actinopteri (class),Synbranchiformes (order),72-95
A0A401NS66_IPR045860_1_21-135,none,monomere,Chordata (phylum),Chondrichthyes (class),Galeoidea (superorder),95-117
A0A401RHQ3_IPR016054_2_114-208,Ly6,multimere,Chordata (phylum),Chondrichthyes (class),Orectolobiformes (order),95-117
A0A444V7R9_IPR045860_2_235-304,none,mixture,Chordata (phylum),Actinopteri (class),Acipenseriformes (order),50-72
A0A452V3M2_IPR016054_1_23-109,mostly_Ly6,monomere,Chordata (phylum),Mammalia (class),Eutheria (clade),72-95
A0A482V9V6_IPR045860_1_22-108,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A498P1F1_IPR045860_1_142-201,none,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),50-72
A0A4D9DIZ9_IPR045860_1_52-132,none,monomere,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A4S2M5A7_IPR045860_1_21-96,Ly6,monomere,Platyhelminthes (phylum),Trematoda (class),Opisthorchiida (order),72-95
A0A4U5NZH1_IPR045860_1_19-101,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A4W3GY92_IPR045860_1_11-86,none,monomere,Chordata (phylum),Chondrichthyes (class),Chimaeriformes (order),72-95
A0A4W3IZP1_IPR045860_1_40-134,none,monomere,Chordata (phylum),Chondrichthyes (class),Chimaeriformes (order),95-117
A0A4W6C9W3_IPR045860_1_20-127,none,monomere,Chordata (phylum),Actinopteri (class),Centropomidae (family),95-117
A0A4X2K2K4_IPR045860_1_15-101,none,monomere,Chordata (phylum),Mammalia (class),Diprotodontia (order),72-95
A0A4X2LKJ9_IPR045860_1_25-103,none,monomere,Chordata (phylum),Mammalia (class),Diprotodontia (order),72-95
A0A4Z2HTV0_IPR045860_1_19-103,Ly6,multimere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A504Z8T6_IPR045860_1_21-121,mixture,monomere,Platyhelminthes (phylum),Trematoda (class),Plagiorchiida (order),95-117
A0A553PG42_IPR045860_1_25-155,none,monomere,Arthropoda (phylum),Hexanauplia (class),Harpacticoida (order),117-140
A0A553QYE0_IPR016054_2_18-109,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A556U032_IPR045860_1_19-74,none,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),50-72
A0A5A9NJJ7_IPR045860_1_159-272,none,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),95-117
A0A5F8GWA7_IPR026524_1_16-136,Ly6,monomere,Chordata (phylum),Mammalia (class),Metatheria (clade),117-140
A0A5F9DD18_IPR045860_2_120-204,none,multimere,Chordata (phylum),Mammalia (class),Lagomorpha (order),72-95
A0A5N4A6F7_IPR045860_1_18-100,none,mixture,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A5N4DN04_IPR016054_1_29-113,none,monomere,Chordata (phylum),Mammalia (class),Artiodactyla (order),72-95
A0A5N5LWL9_IPR045860_1_50-135,none,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A653DLQ2_IPR045860_1_16-119,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0A667ZW21_IPR016054_1_74-155,mixture,monomere,Chordata (phylum),Actinopteri (class),Holocentriformes (order),72-95
A0A670I9D7_IPR045860_1_18-70,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A670IP24_IPR045860_1_63-149,none,mixture,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A671XIT9_IPR016054_2_113-195,Ly6,multimere,Chordata (phylum),Actinopteri (class),Eupercaria (clade),72-95
A0A672N7B9_IPR045860_1_18-94,mixture,monomere,Chordata (phylum),Actinopteri (class),Ostariophysi (subcohort),72-95
A0A672TJI9_IPR045860_1_31-102,none,monomere,Chordata (phylum),Aves (class),Psittaciformes (order),50-72
A0A673AUY9_IPR016054_2_2-94,Ly6,multimere,Chordata (phylum),Actinopteri (class),Kurtiformes (order),72-95
A0A674BJD9_IPR045860_1_18-105,Ly6,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),72-95
A0A6A4TGA4_IPR045860_1_564-622,none,monomere,Chordata (phylum),Actinopteri (class),Pleuronectiformes (order),50-72
A0A6A5DHU2_IPR045860_1_24-96,mixture,monomere,Platyhelminthes (phylum),Trematoda (class),Strigeidida (order),72-95
A0A6I8PRL8_IPR016054_2_119-208,none,multimere,Chordata (phylum),Mammalia (class),Monotremata (order),72-95
A0A6I8S163_IPR045860_1_21-113,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A6I9IBJ7_IPR045860_1_19-101,mostly_Ly6,monomere,Chordata (phylum),Mammalia (class),Eutheria (clade),72-95
A0A6I9VN68_IPR045860_1_60-169,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
A0A6I9Y6Q2_IPR045860_1_80-168,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A6J0BTJ1_IPR045860_1_29-113,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),72-95
A0A6J0V6L7_IPR045860_1_17-107,mixture,mixture,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A6J0VD59_IPR045860_1_76-175,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
A0A6J1XM25_IPR016054_1_143-217,Ly6,mixture,Chordata (phylum),Mammalia (class),Eutheria (clade),72-95
A0A6J2WKY8_IPR045860_2_1-78,none,multimere,Chordata (phylum),Actinopteri (class),Gonorynchiformes (order),72-95
A0A6J3CJV4_IPR016054_1_21-106,Ly6,monomere,Chordata (phylum),Aves (class),Neognathae (infraclass),72-95
A0A6J3GLF3_IPR016054_4_45-112,mostly_Ly6,mixture,Chordata (phylum),Mammalia (class),Euarchontoglires (superorder),50-72
A0A6P3FG66_IPR042339_1_1-130,Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),117-140
A0A6P5A2A8_IPR045860_2_37-126,Ly6,multimere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),72-95
A0A6P5IAQ5_IPR045860_1_20-102,Ly6,monomere,Chordata (phylum),Mammalia (class),Diprotodontia (order),72-95
A0A6P5L1I1_IPR051445_1_1-126,Ly6,monomere,Chordata (phylum),Mammalia (class),Diprotodontia (order),117-140
A0A6P6DK09_IPR016054_2_23-109,mixture,multimere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A6P7I1H2_IPR045860_2_109-192,Ly6,multimere,Chordata (phylum),Actinopteri (class),Ambassidae (family),72-95
A0A6P7KEB0_IPR045860_1_21-99,mixture,monomere,Chordata (phylum),Actinopteri (class),Teleostei (infraclass),72-95
A0A6P7U2E1_IPR045860_1_27-119,none,monomere,Mollusca (phylum),Cephalopoda (class),Octopoda (order),72-95
A0A6P7YVR9_IPR016054_1_30-128,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),95-117
A0A6P7ZH77_IPR016054_1_21-100,Ly6,monomere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8HNU1_IPR016054_1_22-103,mixture,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A6P8IDF1_IPR045860_1_100-200,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),95-117
A0A6P8N5W7_IPR016054_2_141-235,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),95-117
A0A6P8SJ83_IPR045860_1_18-106,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8W429_IPR045860_2_142-227,mixture,multimere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A6P9C3F2_IPR045860_2_17-105,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A7E4W0P0_IPR045860_1_57-175,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),117-140
A0A7G3AHP6_IPR045860_1_13-115,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A7J8BBB4_IPR016054_1_29-124,Ly6,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),95-117
A0A7K5IYS1_IPR016054_1_4-90,mostly_Ly6,mixture,Chordata (phylum),Aves (class),Aves (class),72-95
A0A7M5VEA9_IPR045860_1_33-105,none,monomere,Cnidaria (phylum),Hydrozoa (class),Leptothecata (order),72-95
A0A7N9AXB9_IPR045860_1_11-97,Ly6,monomere,Chordata (phylum),Actinopteri (class),Synbranchiformes (order),72-95
A0A7R9BCI1_IPR045860_1_980-1083,none,monomere,Arthropoda (phylum),Ostracoda (class),Podocopida (order),95-117
A0A7R9J0C7_IPR045860_2_184-255,none,multimere,Arthropoda (phylum),Insecta (class),Phasmatodea (order),50-72
A0A7R9XGP3_IPR045860_1_35-129,none,monomere,Arthropoda (phylum),Ichthyostraca (class),Arguloida (order),95-117
A0A803JXQ3_IPR016054_1_20-105,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A813MQH7_IPR045860_1_8-81,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),72-95
A0A813QI13_IPR045860_1_19-112,mixture,monomere,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),72-95
A0A814KFG6_IPR045860_2_26-105,none,mixture,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),72-95
A0A814PKZ4_IPR045860_1_10-63,Quiver,monomere,Rotifera (phylum),Eurotatoria (class),Adinetida (order),50-72
A0A816A215_IPR045860_1_25-87,none,monomere,Rotifera (phylum),Eurotatoria (class),Adinetida (order),50-72
A0A818R6U5_IPR045860_1_33-105,none,monomere,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),50-72
A0A821LGS5_IPR045860_1_24-85,mixture,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),50-72
A0A833ZUP7_IPR016054_1_37-131,Ly6,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),95-117
A0A834R8A3_IPR045860_1_1-102,none,monomere,Arthropoda (phylum),Arachnida (class),Sarcoptiformes (order),95-117
A0A851TKF1_IPR016054_1_4-89,Ly6,monomere,Chordata (phylum),Aves (class),Palaeognathae (superorder),72-95
A0A852D2F2_IPR045860_1_25-126,none,monomere,Chordata (phylum),Gnathostomata (clade),Gnathostomata (clade),95-117
A0A8B6BQL6_IPR045860_1_579-661,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B6D9J1_IPR045860_1_4-90,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B6F514_IPR045860_1_60-144,Ly6,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B6GDE0_IPR016054_2_118-201,none,multimere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B7DGG4_IPR045860_1_44-134,none,monomere,Cnidaria (phylum),Hydrozoa (class),Anthoathecata (order),72-95
A0A8B7SLN9_IPR051445_1_5-68,Ly6,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),50-72
A0A8B8BYK6_IPR045860_1_20-122,none,mixture,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8B8DAV2_IPR045860_2_171-283,none,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),95-117
A0A8B8EU03_IPR045860_2_169-241,mixture,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8B8EU08_IPR016054_21_3021-3099,Ly6,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8B8F005_IPR045860_1_20-128,mixture,monomere,Mollusca (phylum),Bivalvia (class),Ostreida (order),95-117
A0A8B8THU3_IPR016054_1_46-115,Ly6,multimere,Chordata (phylum),Mammalia (class),Artiodactyla (order),50-72
A0A8B9I9W6_IPR045860_1_19-97,none,monomere,Chordata (phylum),Aves (class),Aves (class),72-95
A0A8C0A5N0_IPR051445_1_2-138,Ly6,monomere,Chordata (phylum),Mammalia (class),Artiodactyla (order),117-140
A0A8C0G2Y1_IPR045860_1_17-106,Ly6,mixture,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A8C0X4E9_IPR016054_2_233-300,Ly6,multimere,Chordata (phylum),Mammalia (class),Boreoeutheria (clade),50-72
A0A8C1IM35_IPR016054_2_99-178,mixture,mixture,Chordata (phylum),Actinopteri (class),Cypriniformes (order),50-72
A0A8C1QPY7_IPR045860_1_31-106,mixture,mixture,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A8C4DZ51_IPR045860_1_22-139,none,mixture,Chordata (phylum),Actinopteri (class),Euteleosteomorpha (cohort),95-117
A0A8C4IQN3_IPR045860_1_17-94,none,monomere,Chordata (phylum),Actinopteri (class),Moronidae (family),72-95
A0A8C4TDL5_IPR045860_4_288-362,Ly6,multimere,Chordata (phylum),Cladistia (class),Polypteriformes (order),72-95
A0A8C5GRF3_IPR045860_1_350-447,none,monomere,Chordata (phylum),Actinopteri (class),Blenniiformes (order),95-117
A0A8C5JI90_IPR045860_1_29-112,none,monomere,Chordata (phylum),Aves (class),Passeriformes (order),72-95
A0A8C5LL36_IPR051445_1_1-139,Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),117-140
A0A8C5QT69_IPR016054_3_254-329,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C5R8V1_IPR016054_2_27-118,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C6GS09_IPR045860_1_35-121,none,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A8C6M5H3_IPR045860_1_6-91,none,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A8C6SA17_IPR045860_1_27-105,Ly6,monomere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),72-95
A0A8C6VGI3_IPR045860_2_114-185,none,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A8C6W5N4_IPR045860_2_24-112,Ly6,multimere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A8C6XA92_IPR045860_1_12-61,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A8C7CDA6_IPR016054_1_18-83,Ly6,multimere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),50-72
A0A8C7UBZ2_IPR045860_2_18-111,none,multimere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),72-95
A0A8C8UB28_IPR016054_5_319-395,Ly6,multimere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A8C9CVH1_IPR045860_1_36-89,none,monomere,Chordata (phylum),Mammalia (class),Carnivora (order),50-72
A0A8C9LXJ3_IPR016054_2_167-256,mixture,multimere,Chordata (phylum),Mammalia (class),Primates (order),72-95
A0A8C9WN57_IPR045860_2_69-153,none,mixture,Chordata (phylum),Actinopteri (class),Osteoglossiformes (order),72-95
A0A8D8T9C0_IPR045860_1_29-134,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A8I6TCF2_IPR031424_1_25-135,none,monomere,Arthropoda (phylum),Insecta (class),Paraneoptera (cohort),95-117
A0A8J0VJ07_IPR016054_1_84-171,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1JUZ1_IPR045860_1_113-200,Ly6,mixture,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1LXK5_IPR045860_1_29-101,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J6DP14_IPR016054_5_46-114,Ly6,multimere,Chordata (phylum),Mammalia (class),Eulipotyphla (order),50-72
A0A8J6EJ15_IPR016054_1_21-110,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8K0CEF5_IPR045860_1_24-107,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A8K0F306_IPR045860_1_23-130,Ly6,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),95-117
A0A8R1Z2I3_IPR045860_1_12-103,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A8S1CZR5_IPR031424_1_28-123,none,monomere,Arthropoda (phylum),Insecta (class),Ephemeroptera (order),95-117
A0A8S2S7A0_IPR045860_1_1-53,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),50-72
A0A8S3RRA0_IPR045860_1_66-139,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8S3Z145_IPR045860_1_28-127,none,monomere,Mollusca (phylum),Gastropoda (class),Stylommatophora (order),95-117
A0A8T1S329_IPR045860_1_1-67,none,monomere,Chordata (phylum),Testudines (order),Testudines (order),50-72
A0A8T1TAT9_IPR016054_1_131-213,none,monomere,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A8T2IR35_IPR045860_1_12-84,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8W8JB37_IPR045860_2_62-157,none,mixture,Mollusca (phylum),Bivalvia (class),Ostreida (order),95-117
A0A8X6WRQ9_IPR045860_1_29-122,none,monomere,Arthropoda (phylum),Arachnida (class),Araneae (order),72-95
A0A913X4X6_IPR045860_2_26-114,none,multimere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A913ZQE8_IPR045860_1_17-97,none,monomere,Echinodermata (phylum),Asteroidea (class),Valvatida (order),72-95
A0A914C6D3_IPR045860_1_29-96,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914F127_IPR045860_1_16-108,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914XN01_IPR045860_1_21-99,none,monomere,Nematoda (phylum),Chromadorea (class),Plectida (order),72-95
A0A915DFM2_IPR045860_1_17-103,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A921Z041_IPR045860_1_79-129,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),50-72
