protein_id,domain1,domain2,signature1,signature2,domain1_length,domain2_length
A0A2Y9JYL4,IPR038773:23-221,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,199,81
A0A2Y9MLT1,IPR038773:123-298,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A340XK39,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A341AWP2,IPR038773:2-196,IPR016054:27-107,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A384B2R5,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A384DSU0,IPR038773:24-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A387L9N6,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A3Q7NDC8,IPR038773:1-191,IPR016054:22-102,InterPro:IPR038773,InterPro:IPR016054,191,81
A0A3Q7N984,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A452F0N3,IPR038773:1-196,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A3Q7RKQ3,IPR038773:23-217,IPR045860:49-128,InterPro:IPR038773,InterPro:IPR045860,195,80
A0A3Q7RKQ3,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A3Q7RKQ3,IPR045860:49-128,IPR016054:48-128,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A452RA37,IPR038773:122-297,IPR016054:128-208,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A485PHV2,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A4W2DVB9,IPR038773:1-193,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A4W2G8U5,IPR038773:21-216,IPR016054:46-126,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A4X1VEI8,IPR038773:2-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A4X1VH68,IPR038773:123-298,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A4X2JTX9,IPR038773:1-191,IPR045860:25-110,InterPro:IPR038773,InterPro:IPR045860,191,86
A0A4X2JTX9,IPR038773:1-191,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,191,81
A0A4X2JTX9,IPR045860:25-110,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,86,81
A0A5F9C9U2,IPR038773:3-191,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,189,81
A0A5E4C1K9,IPR038773:1-195,IPR045860:26-106,InterPro:IPR038773,InterPro:IPR045860,195,81
A0A5E4C1K9,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A5E4C1K9,IPR045860:26-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,81,81
A0A5K1V609,IPR038773:3-196,IPR016054:27-107,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A5N3W7I0,IPR038773:123-299,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,177,81
A0A5N3W0I8,IPR038773:123-299,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,177,81
A0A5N4CR23,IPR038773:214-408,IPR016054:239-319,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A643C9H7,IPR038773:210-404,IPR016054:235-315,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A671DNU3,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A667GFX9,IPR038773:22-216,IPR016054:47-127,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A673TAJ4,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A673TAJ4,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A673TAJ4,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A6G1B2J5,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A6I9IPF1,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A6J2DTR2,IPR038773:1-191,IPR016054:22-102,InterPro:IPR038773,InterPro:IPR016054,191,81
A0A6J0A5C8,IPR038773:22-216,IPR016054:50-127,InterPro:IPR038773,InterPro:IPR016054,195,78
A0A6J2E0H9,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A6J2LIT5,IPR038773:23-221,IPR045860:49-128,InterPro:IPR038773,InterPro:IPR045860,199,80
A0A6J2LIT5,IPR038773:23-221,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,199,81
A0A6J2LIT5,IPR045860:49-128,IPR016054:48-128,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A6J3H485,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A6J3H485,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A6J3H485,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A6J3H4V4,IPR038773:69-244,IPR045860:78-156,InterPro:IPR038773,InterPro:IPR045860,176,79
A0A6J3H4V4,IPR038773:69-244,IPR016054:76-156,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A6J3H4V4,IPR045860:78-156,IPR016054:76-156,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A6P3EVA9,IPR038773:24-215,IPR016054:47-127,InterPro:IPR038773,InterPro:IPR016054,192,81
A0A6P3RQY8,IPR038773:1-195,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,195,79
A0A6P3RQY8,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A6P3RQY8,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A6P5JFZ1,IPR038773:2-154,IPR045860:1-73,InterPro:IPR038773,InterPro:IPR045860,153,73
A0A6P5JFZ1,IPR038773:2-154,IPR016054:2-69,InterPro:IPR038773,InterPro:IPR016054,153,68
A0A6P5JFZ1,IPR045860:1-73,IPR016054:2-69,InterPro:IPR045860,InterPro:IPR016054,73,68
A0A6P5NXS7,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A6P6BUV0,IPR038773:22-198,IPR045860:31-109,InterPro:IPR038773,InterPro:IPR045860,177,79
A0A6P6BUV0,IPR038773:22-198,IPR016054:29-109,InterPro:IPR038773,InterPro:IPR016054,177,81
A0A6P6BUV0,IPR045860:31-109,IPR016054:29-109,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A6P6HBH6,IPR038773:22-216,IPR016054:47-127,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A7J7EJE5,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A7J7RKK3,IPR038773:1-195,IPR045860:39-108,InterPro:IPR038773,InterPro:IPR045860,195,70
A0A7J7RKK3,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A7J7RKK3,IPR045860:39-108,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,70,81
A0A7J7YN00,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A7J7YMK6,IPR038773:123-298,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A7J7YSJ2,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A7J7YSJ2,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A7J7YSJ2,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A7J7YTJ8,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A7J8GQK3,IPR038773:123-298,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A7J8GR39,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A7J8KBV7,IPR038773:1-195,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,195,79
A0A7J8KBV7,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A7J8KBV7,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A7J8KBW7,IPR038773:123-298,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A7N5JYB1,IPR038773:124-319,IPR016054:148-228,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A811YQU9,IPR038773:23-217,IPR045860:49-128,InterPro:IPR038773,InterPro:IPR045860,195,80
A0A811YQU9,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A811YQU9,IPR045860:49-128,IPR016054:48-128,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A834AI29,IPR038773:123-302,IPR045860:130-209,InterPro:IPR038773,InterPro:IPR045860,180,80
A0A834AI29,IPR038773:123-302,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,180,81
A0A834AI29,IPR045860:130-209,IPR016054:129-209,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A834EF51,IPR038773:1-199,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,199,80
A0A834EF51,IPR038773:1-199,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,199,81
A0A834EF51,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A8B7AP85,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8B7Q0H1,IPR038773:146-340,IPR016054:171-251,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8B8RKW9,IPR038773:11-205,IPR045860:37-116,InterPro:IPR038773,InterPro:IPR045860,195,80
A0A8B8RKW9,IPR038773:11-205,IPR016054:36-116,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8B8RKW9,IPR045860:37-116,IPR016054:36-116,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A8B8YQH3,IPR038773:23-134,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,112,81
A0A8C0AD38,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C0DMQ4,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C0L7M7,IPR038773:1-198,IPR045860:28-109,InterPro:IPR038773,InterPro:IPR045860,198,82
A0A8C0L7M7,IPR038773:1-198,IPR016054:26-109,InterPro:IPR038773,InterPro:IPR016054,198,84
A0A8C0L7M7,IPR045860:28-109,IPR016054:26-109,InterPro:IPR045860,InterPro:IPR016054,82,84
A0A8C0MAF0,IPR038773:1-194,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,194,80
A0A8C0MAF0,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A8C0MAF0,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A8C0WHJ7,IPR038773:1-183,IPR016054:16-96,InterPro:IPR038773,InterPro:IPR016054,183,81
A0A8C2RT18,IPR038773:64-241,IPR016054:71-151,InterPro:IPR038773,InterPro:IPR016054,178,81
A0A8C2VU30,IPR038773:22-218,IPR016054:47-127,InterPro:IPR038773,InterPro:IPR016054,197,81
A0A8C3W0G1,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A8C4PR73,IPR038773:123-299,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,177,81
A0A8C5VFJ4,IPR038773:2-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A8C5Z7X2,IPR038773:1-195,IPR045860:26-106,InterPro:IPR038773,InterPro:IPR045860,195,81
A0A8C5Z7X2,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C5Z7X2,IPR045860:26-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,81,81
A0A8C6BKD1,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C6DW77,IPR038773:23-218,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A8C6GIG4,IPR038773:57-250,IPR016054:82-162,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A8C6QX30,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C7BE03,IPR038773:1-201,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,201,81
A0A8C8WXK0,IPR038773:1-194,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,194,79
A0A8C8WXK0,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A8C8WXK0,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A8C9A8A4,IPR038773:123-297,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,175,81
A0A8C9ACI9,IPR038773:21-212,IPR016054:44-124,InterPro:IPR038773,InterPro:IPR016054,192,81
A0A8C9EGB8,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C9INN9,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A8C9M807,IPR038773:22-216,IPR016054:47-127,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C9PEY5,IPR038773:1-195,IPR045860:26-106,InterPro:IPR038773,InterPro:IPR045860,195,81
A0A8C9PEY5,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8C9PEY5,IPR045860:26-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,81,81
A0A8D0YWC4,IPR038773:3-195,IPR016054:27-107,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A8D2BNL4,IPR038773:123-298,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,176,81
A0A8D2DHJ0,IPR038773:1-194,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,194,80
A0A8D2DHJ0,IPR038773:1-194,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,194,81
A0A8D2DHJ0,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A8D2GLM1,IPR038773:1-193,IPR045860:28-106,InterPro:IPR038773,InterPro:IPR045860,193,79
A0A8D2GLM1,IPR038773:1-193,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A8D2GLM1,IPR045860:28-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A8D2II07,IPR038773:1-195,IPR045860:26-106,InterPro:IPR038773,InterPro:IPR045860,195,81
A0A8D2II07,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8D2II07,IPR045860:26-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,81,81
A0A8I3NJX2,IPR038773:23-217,IPR045860:49-128,InterPro:IPR038773,InterPro:IPR045860,195,80
A0A8I3NJX2,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8I3NJX2,IPR045860:49-128,IPR016054:48-128,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A8J6DHC9,IPR038773:251-443,IPR016054:274-354,InterPro:IPR038773,InterPro:IPR016054,193,81
A0A8P0N3T0,IPR038773:23-217,IPR045860:49-128,InterPro:IPR038773,InterPro:IPR045860,195,80
A0A8P0N3T0,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A8P0N3T0,IPR045860:49-128,IPR016054:48-128,InterPro:IPR045860,InterPro:IPR016054,80,81
A0A8U0NG55,IPR038773:23-223,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,201,81
A0A9B0X1H0,IPR038773:1-192,IPR016054:25-104,InterPro:IPR038773,InterPro:IPR016054,192,80
A0A9L0JBW9,IPR038773:1-196,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,196,81
A0A9L0S8V2,IPR038773:123-299,IPR016054:129-209,InterPro:IPR038773,InterPro:IPR016054,177,81
A0A9L0SFK4,IPR038773:24-202,IPR016054:32-112,InterPro:IPR038773,InterPro:IPR016054,179,81
A0A9V1F2U1,IPR038773:22-216,IPR045860:49-127,InterPro:IPR038773,InterPro:IPR045860,195,79
A0A9V1F2U1,IPR038773:22-216,IPR016054:47-127,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A9V1F2U1,IPR045860:49-127,IPR016054:47-127,InterPro:IPR045860,InterPro:IPR016054,79,81
A0A9W3HMS0,IPR038773:11-205,IPR045860:37-116,InterPro:IPR038773,InterPro:IPR045860,195,80
A0A9W3HMS0,IPR038773:11-205,IPR016054:36-116,InterPro:IPR038773,InterPro:IPR016054,195,81
A0A9W3HMS0,IPR045860:37-116,IPR016054:36-116,InterPro:IPR045860,InterPro:IPR016054,80,81
A0AA40HAH7,IPR038773:23-217,IPR045860:50-128,InterPro:IPR038773,InterPro:IPR045860,195,79
A0AA40HAH7,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0AA40HAH7,IPR045860:50-128,IPR016054:48-128,InterPro:IPR045860,InterPro:IPR016054,79,81
A0AA41SRL3,IPR038773:1-195,IPR045860:27-106,InterPro:IPR038773,InterPro:IPR045860,195,80
A0AA41SRL3,IPR038773:1-195,IPR016054:26-106,InterPro:IPR038773,InterPro:IPR016054,195,81
A0AA41SRL3,IPR045860:27-106,IPR016054:26-106,InterPro:IPR045860,InterPro:IPR016054,80,81
A0AAX6P9W6,IPR038773:22-222,IPR016054:47-133,InterPro:IPR038773,InterPro:IPR016054,201,87
A0AB34HIH1,IPR038773:23-217,IPR016054:48-128,InterPro:IPR038773,InterPro:IPR016054,195,81
A0ABB5UR29,IPR038773:3-184,IPR045860:17-95,InterPro:IPR038773,InterPro:IPR045860,182,79
A0ABB5UR29,IPR038773:3-184,IPR016054:15-95,InterPro:IPR038773,InterPro:IPR016054,182,81
A0ABB5UR29,IPR045860:17-95,IPR016054:15-95,InterPro:IPR045860,InterPro:IPR016054,79,81
B9TSR1,IPR038773:1-166,IPR045860:14-77,InterPro:IPR038773,InterPro:IPR045860,166,64
B9TSR1,IPR038773:1-166,IPR016054:2-77,InterPro:IPR038773,InterPro:IPR016054,166,76
B9TSR1,IPR045860:14-77,IPR016054:2-77,InterPro:IPR045860,InterPro:IPR016054,64,76
E1BBA8,IPR038773:21-216,IPR016054:46-126,InterPro:IPR038773,InterPro:IPR016054,196,81
