Entry	Organism (ID)	InterPro	Pfam	Protein names
P05533	10090	IPR018363;IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6A-2/6E-1 (Ly-6A.2/Ly-6E.1) (Stem cell antigen 1) (SCA-1) (T-cell-activating protein) (TAP)
P0C1Z0	8618	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Fasciculin-2 (Fas-2) (Fas2) (Acetylcholinesterase toxin F-VII) (Fasciculin-II) (FAS-II) (Toxin TA1)
P0DKR6	8620	IPR003571;IPR045860;IPR054131;	PF21947;	Mambalgin-1 (Mamb-1) (Pi-Dp1)
P0DP57	9606	IPR051110;IPR016054;IPR045860;	PF00021;	Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)
P0DP58	9606	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1 (Endogenous prototoxin LYNX1) (Testicular tissue protein Li 112)
P0DP60	10090	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1 (GC26)
P0DPQ9	7955	IPR016054;IPR045860;IPR046354;	PF00021;	Protein Bouncer
P13987	9606	IPR018363;IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)
P27274	10116	IPR018363;IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)
P28375	8619	IPR003571;IPR045860;		Dendroaspin (Glycoprotein IIb-IIIa antagonist) (Mambin) (Platelet aggregation inhibitor)
P55000	9606	IPR051110;IPR016054;IPR045860;	PF00021;	Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B) (ARS(component B)-81/S) (Anti-neoplastic urinary protein) (ANUP)
P60305	8649	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 1 (CTX1) (CX1) (Cardiotoxin F8) (Cardiotoxin-I) (CTX-I) (Toxin CM-6)
P60615	8616	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-bungarotoxin (Alpha-Bgtx) (Alpha-Btx) (Alpha-bungarotoxin, isoform A31) (Alpha-BTX A31) (Alpha-BgTx(A31)) (Alpha-bungarotoxin (A31)) (BGTX A31) (Alpha-elapitoxin-Bm2a) (Alpha-EPTX-Bm2a) (Long neurotoxin 1)
P60770	8656	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cobrotoxin (CBT) (CBTX) (CTX) (Atratoxin) (Cobratide) (Short neurotoxin 1)
P60775	8631	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Erabutoxin a (ETXA) (Ea) (Short neurotoxin 1a)
P80958	8656	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cobrotoxin-b (CBT-b) (Atratoxin-b) (Cobrotoxin III) (CBT-III) (Cobrotoxin IV) (CBT IV) (NT3) (Short neurotoxin)
P82935	8649	IPR003571;IPR045860;IPR054131;	PF21947;	Tryptophan-containing weak neurotoxin (WTX)
P83302	8665	IPR003571;IPR045860;IPR054131;	PF21947;	Neurotoxin Oh9-1 (OMEGA-neurotoxin Oh9-1) (Three-finger toxin) (3FTx)
P85092	8618	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Toxin AdTx1 (Rho-elapitoxin-Da1a) (Rho-Da1a) (Rho-EPTX-Da1a)
Q06ZW0	46286	IPR003571;IPR045860;IPR054131;	PF21947;	Denmotoxin
Q09098	10090	IPR016054;IPR045860;	PF00021;	Prostate and testis expressed protein 4 (Calcium transport inhibitor) (Caltrin) (PATE-like protein B) (PATE-B) (Seminal vesicle protein 7) (Seminal vesicle protein VII) (SVS VII)
Q14210	9606	IPR018363;IPR016054;IPR042339;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6D (Ly-6D) (E48 antigen)
Q16553	9606	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6E (Ly-6E) (Retinoic acid-induced gene E protein) (RIG-E) (Stem cell antigen 2) (SCA-2) (Thymic shared antigen 1) (TSA-1)
Q53B58	8665	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Oh3a (CM-11) (Long neurotoxin OH-55)
Q5SRR4	9606	IPR016054;IPR026110;	PF00021;	Lymphocyte antigen 6 complex locus protein G5c
Q64253	10090	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6E (Ly-6E) (Stem cell antigen 2) (Thymic shared antigen 1) (TSA-1)
Q66IA6	7955	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6
Q86Y78	9606	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6
Q8BLC3	10090	IPR016054;IPR045860;	PF00021;	Ly6/PLAUR domain-containing protein 1 (Ly-6/neurotoxin-like protein 2) (Lynx2)
Q8IV16	9606	IPR051110;IPR045860;IPR035076;	PF00087;	Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1)
Q8K1T6	10090	IPR000472;IPR039700;IPR045860;	PF01064;	Lymphocyte antigen 6G6e (Lymphocyte antigen 6 complex locus protein G6e)
Q8N2G4	9606	IPR016054;IPR045860;	PF00021;	Ly6/PLAUR domain-containing protein 1 (Putative HeLa tumor suppressor) (PHTS)
Q8QGR0	8618	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Muscarinic toxin 7 (MT-7) (MT7) (Muscarinic toxin 1) (m1-toxin)
Q8TDM5	9606	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4 (Sperm acrosomal membrane-associated protein 14)
Q9CWP4	10090	IPR016054;IPR045860;IPR052874;	PF00021;	Lymphocyte antigen 6K (Ly-6K)
Q9VII1	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein bero (Protein belly roll)
Q9VKA0	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein crok (Protein crooked)
Q9VPR7	7227	IPR045860;		UPAR/Ly6 domain-containing protein cold (Protein coiled)
Q9VTM6	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein crim (Protein crimpled)
Q9VZ21	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein rtv (Protein retroactive)
Q9W3T7	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein bou (Protein boudin)
Q9WUC3	10090	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6H (Ly-6H)
Q9Z0K7	10090	IPR018363;IPR051110;IPR045860;IPR035076;	PF00087;	Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B)
Q9Z1Q3	10090	IPR016054;IPR026524;IPR045860;	PF00021;	Lymphocyte antigen 6 complex locus protein G6d
U3FAE1	8637	IPR045860;		Fulditoxin (Micrurus fulvius dimeric neurotoxin) (SIGMA-neurotoxin) (Three-finger toxin 3a) (3FTx 3a) (Three-finger toxin 9a) (Three-finger toxin 9d) (Three-finger toxin 9e)
A0A346CIA0	1899469	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Sulditoxin subunit A (S.sulphureus dimeric toxin) (Three-finger toxin subunit B)
A0A346CIB3	1899469	IPR003571;IPR045860;IPR054131;	PF21947;	Sulditoxin subunit B (S.sulphureus dimeric toxin) (Three-finger toxin subunit A)
B3MFC2	7217	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B3NSF6	7220	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4GAN3	7234	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4HNI3	7238	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4J8Z9	7222	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4KR21	7230	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4LQ44	7244	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4MQJ1	7260	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4P641	7245	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B4QBL6	7240	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
B5E022	46245	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
C0HJD7	8620	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Dpp2d (Alpha-EPTX-Dpp2d)
C1IC47	64182	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin W-III
C1IC49	64182	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin W-V
E2ITZ3	8656	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Na1a (Alpha-EPTX-Na1a) (Three-finger toxin)
H2LID1	8090	IPR016054;IPR045860;IPR046354;	PF00021;	Protein Bouncer
K9MCH1	1240351	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin A1 (MlatA1) (Short chain alpha-neurotoxin A1)
O62680	9823	IPR018363;IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)
O77541	9986	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)
O94772	9606	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6H (Ly-6H)
P01379	8631	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Ls2a (Alpha-EPTX-Ls2a) (Long neurotoxin Ls3) (LsIII) (Ls III) (Neurotoxin 1) (Neurotoxin alpha)
P01382	8657	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Nno2a (Alpha-EPTX-Nno2a) (Long neurotoxin 1) (Neurotoxin I) (NT I) (Ntx-1) (Toxin I) (NnoI)
P01404	8618	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Toxin F-VIII (Toxin DaF8) (Toxin TA2)
P01442	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 2 (Cardiotoxin 1A) (Cardiotoxin 2) (CTX-2) (Cardiotoxin A2) (CTX A2) (Cardiotoxin II) (Cardiotoxin analog II)
P01443	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 4 (CTX-4M) (CTX4) (Cardiotoxin A4) (CTX A4) (Cardiotoxin analog IV) (CTX IV)
P01448	8643	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 1 (Cytotoxin V(II)1)
P01452	8644	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 4 (CTX M3) (Cardiotoxin VII4) (Cytotoxin V(II)4)
P01467	8644	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 1 (CTX M1) (Cardiotoxin IIB) (CTX-IIB) (Cytotoxin V(II)1)
P01469	8644	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 2 (CTX M2) (Cardiotoxin IIA) (CTX IIA) (Cytotoxin V(II)2)
P07525	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 5 (Cardiotoxin A4b) (CTX-A4b) (Cardiotoxin T) (Cardiotoxin analog V) (CTX V) (Cytotoxin D-1) (Membrane toxin D1)
P0C8F1	9606	IPR016054;IPR045860;	PF00021;	Prostate and testis expressed protein 4 (PATE-like protein B) (PATE-B)
P0DKS3	8620	IPR003571;IPR045860;IPR054131;	PF21947;	Mambalgin-2 (Ma-2) (Mamb-2) (Pi-Dp2)
P0DP62	9544	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
P18329	8618	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Toxin C13S1C1
P35459	10090	IPR018363;IPR016054;IPR042339;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6D (Ly-6D) (Thymocyte B-cell antigen) (ThB)
P58019	10090	IPR016054;IPR045860;IPR035076;	PF00087;	CD59B glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59)
P59276	8649	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cobrotoxin-c (CBT-c) (Short neurotoxin II) (NT2)
P60301	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 3 (Cardiotoxin 3) (CTX-3) (CTX3) (Cardiotoxin A3) (CTX A3) (Cardiotoxin III) (Cardiotoxin analog III) (CTX III)
P60303	8649	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 4 (Cytotoxin IV) (Siamextin)
P60304	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 1 (CX1) (Cardiotoxin 1) (CTX-1) (CTX1) (Cardiotoxin A1) (CTX A1) (Cardiotoxin I) (Cardiotoxin analog I) (CTX I)
P60616	8616	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-bungarotoxin isoform V31 (Alpha-BTX V31) (Alpha-Bgt(V31)) (BGTX V31) (Long neurotoxin 1)
P62375	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin A5 (CTX A5) (CT A5) (Cardiotoxin A5) (Cardiotoxin V) (CTX V) (CTXV) (Cardiotoxin-like basic polypeptide) (CLBP)
P80245	8656	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 6 (Cardiotoxin 6) (CTX6) (Cardiotoxin A6) (CTX A6) (Cardiotoxin N) (CTXN) (Ctx-N) (Cytotoxin N)
P81783	92438	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Candoxin
P82662	8665	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Oh2b (Alpha-EPTX-Oh2b) (Alpha-neurotoxin) (LNTX3) (Long neurotoxin OH-6A/OH-6B) (OH-3)
P83107	9913	IPR016054;	PF00021;	Secreted protein of Ly-6 domain 1 (Protein BOP1)
P86419	8618	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Rho-elapitoxin-Da1b (Rho-Da1b) (Rho-EPTX-Da1b)
Q17RY6	9606	IPR045860;IPR052874;IPR035076;	PF00087;	Lymphocyte antigen 6K (Ly-6K)
Q3UN54	10090	IPR016054;	PF00021;	Prostate and testis expressed protein 14 (Secreted seminal-vesicle Ly-6 protein 1) (SSLP-1)
Q45Z11	8667	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Short neurotoxin 1 (SNTX-1) (Toxin 3)
Q66H42	10116	IPR016054;IPR045860;	PF00021;	Ly6/PLAUR domain-containing protein 1
Q69CK0	8665	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Beta-cardiotoxin CTX27 (OH-27)
Q7LZI1	8649	IPR050918;IPR016054;IPR016338;IPR004126;IPR045860;	PF02988;PF00021;	Phospholipase A2 inhibitor 31 kDa subunit (gamma-PLI)
Q7T2I5	8631	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Erabutoxin c (ETXC) (Ec) (Short neurotoxin 1c)
Q7T3J2	92438	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-bungarotoxin, isoform A31 (Alpha-BgTx (A31)) (Alpha-bungarotoxin (A31))
Q80ZQ0	10090	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4
Q8BPP5	10090	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6
Q8JFX7	8616	IPR003571;IPR045860;		Muscarinic toxin BM14
Q8K1T5	10090	IPR016054;IPR026110;	PF00021;	Lymphocyte antigen 6 complex locus protein G5c
Q8NI32	9606	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B
Q8WXA2	9606	IPR016054;	PF00021;	Prostate and testis expressed protein 1
Q90VW1	8631	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Erabutoxin b (ETXB) (Eb) (Short neurotoxin 1b)
Q99445	9606	IPR018363;IPR016054;IPR045860;IPR052874;		Glycosyl-phosphatidylinositol-anchored molecule-like protein
Q9YGJ0	8616	IPR003571;IPR045860;IPR054131;	PF21947;	Gamma-bungarotoxin (Long neurotoxin homolog NTL2I)
Q9Z1Q4	10090	IPR016054;IPR039237;IPR045860;	PF00021;	Lymphocyte antigen 6 complex locus protein G6c
A0A0B4LEU0	7227	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A0J9RAG9	7240	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A0P8XM01	7217	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A0Q9W5E8	7244	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A158NPD2	12957	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A1J1HT36	568069	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A1J1HXH0	568069	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A1S3IUW6	7574	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A1S3K8Y4	7574	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A1S3K9N0	7574	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A286XKB7	10141	IPR051110;IPR045860;IPR035076;	PF00087;	Glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
A0A286XLH9	10141	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
A0A287B109	9823	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
A0A2S2R6I4	143950	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A346CIB0	1899469	IPR003571;IPR045860;IPR054131;	PF21947;	Sulmotoxin 2 (S.sulphureus monomeric toxin 2) (Three-finger toxin 11) (Three-finger toxin 14)
A0A346CIB2	1899469	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Sulmotoxin 1 (S.sulphureus monomeric toxin) (Three-finger toxin 2)
A0A4P1LYC9	8620	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Dendroaspis polylepis MT9 (Three-finger toxin) (3FTx)
A0A4W2C5H3	30522	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
A0A6I8VQH9	46245	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A6J2SR37	7224	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A6J2T0E8	7224	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A7R8YL64	343691	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A7T7DMY7	1108807	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Cytotoxin 1 (CX1) (Cardiotoxin-1) (CTX-1) (CTX1)
A0A8B7HN27	30608	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
A0A8B8AE93	6565	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A9B7HXA1	30195	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0A9C6DT89	201502	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
A0JNB3	9913	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6H (Ly-6H)
A2CKF6	8613	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Neurotoxin 3FTx-8a (3FTx-VIIIa)
A2CKF7	8613	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Neurotoxin 3FTx-LT
A6HRY3	10116	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
A6HS11	10116	IPR051110;IPR045860;IPR035076;	PF00087;	Similar to high density lipoprotein-binding protein (Predicted), isoform CRA_b
A8HDJ4	8671	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Ppr1 (Short neurotoxin 1) (SNTX-1)
A8N286	8665	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Haditoxin (Muscarinic toxin-like protein 3 homolog) (MTLP-3 homolog)
A8WG63	7955	IPR000472;IPR045860;	PF01064;	Bone morphogenetic protein receptor, type IBb (EC 2.7.11.30) (Zgc:172219 protein)
B2BRQ5	471292	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Al2b (Alpha-EPTX-Al2b)
B3EWH9	8626	IPR003572;IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger hemachatoxin
C0HJB0	8618	IPR003571;IPR045860;IPR054131;	PF21947;	Mambalgin-3 (Mamb-3)
C0HJR1	430902	IPR003571;IPR045860;IPR054131;	PF21947;	Micrurotoxin 1 (MmTX1)
C0HJR2	430902	IPR003571;IPR045860;IPR054131;	PF21947;	Micrurotoxin 2 (MmTX2)
C0HJT4	8618	IPR045860;		Toxin Tx7335
C0HJT5	8626	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Ringhalexin
C0HK04	1817999	IPR003571;IPR045860;IPR054131;	PF21947;	Clarkitoxin-1 (Clarkitoxin-I) (Three-finger toxin) (3FTx)
C0HKZ8	64182	IPR045860;IPR035076;	PF00087;	Actiflagelin
C0HLK5	1337871	IPR003571;IPR045860;IPR054131;	PF21947;	Clarkitoxin-I-Mdum (Dumertoxin-1)
C0HM08	35670	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Nn2a (Short neurotoxin 2) (Short-chain alpha-neurotoxin Nn2a)
C0HM09	35670	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Alpha-elapitoxin-Nn3a (Long neurotoxin 7) (Long-chain alpha-neurotoxin Nn3a)
C1IC48	64182	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin W-IV
C4WVU5	7029	IPR031424;IPR050975;	PF17064;	UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless)
C6JUP3	54390	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin MicTx3 (MCOR0100C) (Three-finger toxin 3FTx-3)
D4A6F2	10116	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
E7F2M5	7955	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein precursor (CD59 molecule (CD59 blood group))
F5CPD3	129457	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin MALT0044C (3FTx MALT0044C)
F5CPD5	129457	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin MALT0051C (MALT0051C)
F5CPD6	129457	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin MALT0052C (MALT0052C)
F5CPD8	129457	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin MALT0057C (MALT0057C)
F5CPD9	129457	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin MALT0058C
F5CPE0	129457	IPR045860;		Three-finger toxin MALT0059C (3FTx MALT0059C)
F5CPE2	129457	IPR045860;		Three-finger toxin MALT0063C (3FTx MALT0063C)
