identifier,group
A0A9P0DTR9_IPR045860_1_1-58,none
A0A9P1MMA3_IPR045860_1_27-105,mixture
A0A9W2Z002_IPR045860_1_18-92,none
A0A9W9YJ69_IPR045860_1_16-79,none
A0AA85JZT4_IPR045860_1_28-94,mixture
A0AAD9NTI8_IPR045860_1_19-83,none
A0AAE0W1W7_IPR045860_1_20-75,none
A0AAE1GRD3_IPR045860_1_32-133,mixture
M1ZMI5_IPR045860_1_3-54,mixture
R7VD63_IPR045860_1_180-235,none
W5MLI6_IPR045860_1_1-65,mixture
Centipede3FTx_0067_1255758,manually_annotated
Centipede3FTx_0099_984703,manually_annotated
A0A090LL14_IPR003571_1_32-90,none
A0A8C3SXJ0_IPR045860_1_14-67,none
A0A8C9F6M2_IPR035076_1_14-65,none
M3XSN1_IPR045860_1_65-143,none
A0A1L6Z9Y5_IPR026524_1_1-149,Ly6
A0A2Y9RVA8_IPR016054_1_239-303,mostly_Ly6
A0A6P7YUZ6_IPR045860_2_114-195,mixture
A0A8J6B5V3_IPR045860_2_124-181,mixture
A0AAD5KP77_IPR016054_1_20-118,mixture
A6J8Z0_IPR016054_1_69-200,mixture
A0A0L0BZ61_IPR031424_1_35-125,none
A0A1B0GHW8_IPR031424_1_36-128,mixture
A0A1D1VGV8_IPR031424_1_79-178,Quiver
A0A226EYN6_IPR031424_1_49-136,Quiver
A0A6G1SPW6_IPR031424_1_43-183,Quiver
A0A834IJZ1_IPR031424_1_21-82,none
A0A8I6RMI4_IPR031424_1_20-124,mixture
A0A8J5MU39_IPR031424_1_24-110,none
A0A914WJK0_IPR031424_1_20-145,none
A0A9J6CMN1_IPR031424_1_155-254,none
A0A9N9WRV6_IPR031424_1_23-109,none
A0A2I0TMY7_IPR045860_1_43-134,none
A0A3P7HPH2_IPR045860_1_12-82,none
A0A7I8WE53_IPR045860_1_16-88,mixture
A0A7R8X7B2_IPR045860_1_59-148,mixture
A0A814REP6_IPR031424_1_35-84,none
A0A834IMY6_IPR031424_1_24-126,none
A0A8J9Y1Z9_IPR031424_1_58-155,mixture
A0A914BR59_IPR031424_1_24-151,mixture
A0A9C6W8C0_IPR031424_1_24-106,none
A0A9D4HCE9_IPR031424_1_22-103,Quiver
A0A9N9WWP9_IPR031424_1_24-110,none
A0A336LZR2_IPR045860_1_251-335,none
A0A6J1LKZ0_IPR045860_1_48-147,none
A0A7I8X8P6_IPR045860_1_79-163,none
A0A9W9YJR1_IPR045860_1_20-117,mixture
A0A9X0D834_IPR045860_1_21-105,none
A0AAV4D142_IPR045860_1_32-83,none
A0AAV5TCP7_IPR045860_1_13-73,none
A0AAW1C869_IPR045860_1_16-82,none
A0ABD0PZK3_IPR045860_1_34-90,none
D3YUY5_IPR045860_1_21-76,none
G5CTL9_IPR045860_1_25-122,none
A0A8S3V659_IPR045860_1_136-212,mixture
A0A8V0Y3K6_IPR045860_1_18-91,none
A0AAD9QQZ4_IPR045860_1_18-112,none
A0AAW0MNB0_IPR045860_1_13-78,none
A0AB32TH96_IPR045860_2_11-62,mixture
A0A6I9MEH3_IPR038773_1_19-122,none
A0A125S9K5_IPR045860_1_18-108,mostly_Ly6
A0A151M3Z5_IPR045860_6_222-294,Ly6
A0A670IQM8_IPR016054_1_23-101,Ly6
A0A6P6EZA3_IPR026524_1_1-387,none
A0A8I6ASR0_IPR051445_1_50-228,Ly6
A0A8J6BKP1_IPR045860_1_11-96,mixture
A0A9B0WY52_IPR045860_1_22-122,Ly6
A0AAF3EF36_IPR016054_1_25-131,mostly_Ly6
A0AAW0PQM6_IPR045860_1_594-663,mixture
A0AAJ7X4X4_IPR039457_1_17-178,mostly_Ly6
A0A7E6FPW6_IPR031424_1_22-116,Quiver
A0A7J7K0Q0_IPR031424_1_36-106,none
A0A816N3I8_IPR031424_1_30-116,mixture
A0A820KXX8_IPR031424_1_21-92,mixture
A0A834J2M1_IPR031424_1_53-131,mixture
A0A9Q0M0P1_IPR031424_1_55-148,mixture
A0AAD8EMX0_IPR031424_1_22-137,none
A0AAV2AUC6_IPR031424_1_29-123,mixture
A0AAV8W3Q6_IPR031424_1_26-152,none
A0ABD2N2U6_IPR031424_1_24-167,none
A0AAE0SFZ8_IPR045860_1_33-155,none
A0AAV5TMI4_IPR045860_1_11-114,none
A0AAV5W0D6_IPR045860_1_69-122,none
G0PFB6_IPR045860_1_18-98,none
A0A452UEK3_IPR026110_1_23-77,none
A0A818R344_IPR045860_1_32-104,mixture
A0A9Q1E5X7_IPR016054_1_18-93,none
A0A9W2ZRV3_IPR045860_1_32-114,mixture
A0AAD4YB02_IPR045860_2_49-104,none
W5MCJ5_IPR016054_1_20-106,mostly_Ly6
A0A6F9CLJ2_IPR045860_3_137-200,mixture
A0AA97KH13_IPR045860_2_20-107,mixture
A0AAV2KTW0_IPR045860_1_114-182,Ly6
A0AAV7Q087_IPR045860_1_109-190,Ly6
A0ABD2NUY2_IPR045860_1_18-107,mixture
U3KML4_IPR045860_1_43-125,mixture
A0A0L8IDX6_IPR031424_1_6-77,none
A0A1B6LMI2_IPR031424_1_21-99,none
A0A1D1VSS4_IPR045860_1_22-105,mixture
A0A1I8PHK9_IPR031424_1_26-129,mixture
A0A6P7FF79_IPR031424_1_26-143,none
A0A7F5RC65_IPR031424_1_31-168,mixture
A0A813QWV5_IPR031424_1_56-156,mixture
A0A8D8YPC7_IPR031424_1_26-155,none
A0AAR5QJX6_IPR031424_1_24-175,none
A0ABD2N5Z7_IPR031424_1_25-145,mixture
A0A026WXM5_IPR045860_1_4-58,none
A0A195D3E7_IPR045860_1_5-73,none
A0A1L8G0F6_IPR045860_1_57-160,Ly6
A0A1W0WQR3_IPR045860_1_88-180,none
A0A3B5MH29_IPR045860_1_152-222,none
A0A401P202_IPR045860_1_22-78,Ly6
A0A443SPP0_IPR045860_1_6-84,none
A0A454XV36_IPR045860_1_21-94,none
A0A4U5LUZ3_IPR045860_1_15-114,Ly6
A0A7R9LSG3_IPR045860_1_1-51,none
A0A7T8QUM6_IPR045860_1_3-92,none
A0A814Q5U4_IPR045860_1_24-92,Quiver
A0A914RZA8_IPR045860_1_78-139,Ly6
A0A915J3H9_IPR045860_1_226-306,mixture
A0A977PF39_IPR045860_1_22-126,none
A0A9P1N1W3_IPR045860_1_11-103,Ly6
A0A9Q1I8V0_IPR045860_1_1-66,mixture
A0AA36H857_IPR045860_1_24-95,none
A0AA97J5B9_IPR045860_1_19-95,mostly_Ly6
A0AAV2KZH7_IPR045860_1_20-82,mixture
A0AAV6ZUP7_IPR045860_1_20-81,none
A0A8C3GTR2_IPR045860_1_48-144,none
A0A8D2L5T3_IPR045860_1_24-97,Ly6
A0A8K0KJU9_IPR045860_1_171-225,none
A0A914VXE6_IPR045860_1_26-103,none
A0A9W9YVV7_IPR045860_1_17-120,none
A0AA36GN51_IPR045860_1_69-160,none
A0AAN5C818_IPR045860_1_20-96,Ly6
A0AAN5I4M8_IPR045860_1_14-85,mixture
A0AAV3A1S2_IPR045860_1_26-103,mixture
A0ABD0SGT6_IPR045860_1_31-106,mixture
A0ABD2K7U0_IPR045860_1_59-155,none
D1ZZN3_IPR045860_1_25-95,mixture
Q91595_IPR045860_1_26-105,none
S4RP23_IPR045860_1_1-76,none
W8B4V7_IPR045860_1_35-84,none
A0A7M5X657_IPR045860_1_43-96,none
A0A815RKE6_IPR045860_1_585-644,none
A0A817TEU8_IPR045860_1_40-101,mixture
A0A8B7PBL7_IPR045860_1_71-178,none
A0A8C4SSB6_IPR045860_1_19-84,Ly6
A0A8S1GQN7_IPR045860_1_21-103,mixture
A0A9W9YWP2_IPR045860_1_22-108,none
A0AAF3JBN4_IPR045860_1_9-84,mixture
A0AAV6GIL3_IPR045860_1_31-81,Ly6
E2B602_IPR045860_1_38-100,none
Q0GAB5_IPR045860_1_20-85,mixture
Centipede3FTx_0015_1255758,manually_annotated
Centipede3FTx_0047_60158,manually_annotated
Centipede3FTx_0111_984703,manually_annotated
A0A2I0TLL8_IPR045860_1_6-59,none
A0A3P9MIP7_IPR045860_2_3-66,mixture
A0A7S1U4Z0_IPR045860_1_8-90,none
A0A818WR27_IPR045860_1_9-78,mixture
A0AAN8FGD8_IPR045860_1_6-82,mixture
A0AAV7V3D2_IPR045860_1_18-71,none
A0A3Q4BL76_IPR045860_2_19-87,Ly6
A0A674J133_IPR045860_2_202-284,Ly6
A0A6B0S3L6_IPR045860_2_202-274,Ly6
A0A7J7JX39_IPR045860_1_15-109,Ly6
A0A9D4B4C9_IPR045860_1_28-84,Ly6
A0A9Q0YG57_IPR016054_1_228-322,mixture
A0A9X9LR61_IPR051445_1_18-78,Ly6
A0AA35KNY3_IPR045860_3_234-311,Ly6
A0AAV7PWP4_IPR045860_2_114-166,Ly6
A0A1L6ZA22_IPR026524_1_1-54,none
A0A8C6VKX5_IPR026524_1_26-317,none
A0A553PQL1_IPR045860_1_17-98,mixture
A0A7G3AA29_IPR031424_1_25-147,none
A0A7I8VUV2_IPR031424_1_20-103,none
A0A8J2WFD8_IPR045860_1_38-136,mixture
A0A8S4PVE8_IPR031424_1_67-162,Quiver
A0A915BLD6_IPR031424_1_24-112,none
A0A9J6BBX8_IPR031424_1_21-133,none
A0A177B4S8_IPR045860_1_239-330,none
A0A1A7YGD8_IPR045860_1_49-105,none
A0A1J1J8J8_IPR045860_1_28-143,none
A0A383VF68_IPR045860_1_50-110,mixture
A0A8K9X2E7_IPR045860_1_3-109,none
A0A8S9Z0J0_IPR045860_1_2-54,Ly6
A0A8T2IKT7_IPR045860_1_5-67,none
A0A8W8KFK6_IPR045860_1_54-138,none
A0A914C4T4_IPR045860_1_15-86,mixture
A0A914TA72_IPR045860_1_17-102,mixture
A0A9Q1BN62_IPR045860_1_22-123,mixture
A0A9X0A6N9_IPR045860_2_115-182,mixture
A0AA35QPM7_IPR045860_2_116-174,Ly6
A0AA36C4P5_IPR045860_1_21-91,none
A0AA39IR08_IPR045860_1_38-107,mixture
A0AA85JQ84_IPR045860_1_34-99,mixture
A0A6I8ND62_IPR039237_1_1-176,Ly6
A0A498MKX1_IPR016054_2_1132-1242,Ly6
A0A9P1MLS2_IPR045860_1_6-104,none
N0E484_IPR038773_1_3-64,none
A0A091VEQ6_IPR016054_2_98-191,mixture
A0A0H4AC46_IPR045860_2_93-174,mostly_Ly6
A0A151M3T1_IPR045860_3_143-211,Ly6
A0A210Q449_IPR016054_1_222-302,none
A0A8B8S0Q2_IPR045860_1_27-138,mixture
A0A8B9R4A5_IPR035076_1_21-80,none
A0A8C5MY48_IPR045860_1_3-69,mixture
A0A8C8RFB5_IPR045860_1_10-78,none
A0AAV6ZW00_IPR045860_1_1-50,none
A0A7J7F023_IPR016054_1_2-56,Ly6
A0A8D0HA27_IPR045860_2_136-222,mostly_Ly6
A0A9D3XGJ7_IPR016054_1_24-105,Ly6
A0A9W2X751_IPR045860_2_81-138,Ly6
A0AA97KFU8_IPR045860_2_16-111,mixture
A0AAV6ZEC7_IPR045860_1_20-103,mostly_Ly6
A0AAV6ZZZ2_IPR045860_2_25-110,mixture
L5KM26_IPR045860_2_12-65,Ly6
A0A8J2WJ03_IPR039457_1_56-169,mixture
A0A226E8M1_IPR031424_1_26-153,none
A0A2T7PKX3_IPR031424_1_25-116,mixture
A0A6V7GZJ9_IPR031424_1_1-65,none
A0A8K0FZV1_IPR031424_1_22-134,none
A0A914ARZ5_IPR031424_1_22-149,none
A0A9N9S5K3_IPR031424_1_25-135,mixture
A0A0B1TBH2_IPR045860_1_92-157,mixture
A0A147BEL1_IPR045860_2_99-162,none
A0A182SK22_IPR045860_1_1-53,none
A0A183PSY2_IPR045860_1_11-108,none
A0A1D2M0G9_IPR045860_1_25-112,mixture
A0A226EQQ1_IPR045860_1_66-208,none
A0A267EX07_IPR045860_1_483-556,none
A0A3M7RMB0_IPR045860_1_25-115,mixture
A0A4U5MQS9_IPR045860_1_90-198,none
A0A556U032_IPR045860_1_19-74,mixture
A0A673FRW7_IPR045860_1_11-80,mixture
A0A674PEQ5_IPR045860_1_11-64,mixture
A0A6F8ZMR9_IPR045860_1_28-92,none
A0A6G0HW87_IPR045860_2_197-292,none
A0A6P8IDF1_IPR045860_1_100-200,Ly6
A0A7R9IYK2_IPR045860_1_3-55,none
A0A7S1MTA1_IPR045860_1_201-255,none
A0A813P492_IPR045860_1_42-98,mixture
A0A814BXE5_IPR045860_1_1-89,none
A0A814HVW8_IPR045860_1_25-82,Ly6
A0A8B8IYC9_IPR045860_1_1-59,none
A0A8C5C145_IPR045860_1_1-60,none
A0A9D4FIS8_IPR031424_1_24-87,none
A0AA38HY41_IPR031424_1_139-222,mixture
A0AAD7YTB9_IPR045860_1_21-123,Quiver
A0AAD9PC26_IPR031424_1_20-109,none
A0AAE1GWL2_IPR031424_1_77-206,none
A0AAV4RF83_IPR031424_1_16-72,mixture
A0AAV5UID1_IPR031424_1_7-80,none
T1FUE6_IPR045860_2_183-273,none
A0AA85K4Y5_IPR045860_1_12-156,none
A0AA88M7S9_IPR045860_1_5-74,Ly6
A0AAD9P4H3_IPR045860_1_15-76,none
A0AAN4ZEY9_IPR045860_1_21-99,none
A0AAN5DA64_IPR045860_1_36-130,none
A0AAN8LXL3_IPR045860_1_17-69,none
A0AAV5TBR6_IPR045860_1_17-112,Ly6
H2L9T1_IPR045860_1_21-86,Ly6
A0A5F4WGV7_IPR042339_1_1-77,none
V8N212_IPR045860_1_1-80,none
A0A6P7WSC1_IPR016054_1_21-102,mixture
A0A8C5SB45_IPR045860_1_12-76,none
A0ABD3WX20_IPR035076_1_66-132,none
A0A835ZW53_IPR038773_1_63-169,none
A0A151PIJ3_IPR016054_1_181-271,mostly_Ly6
A0A484GSD8_IPR016054_1_27-77,Ly6
A0A8B7WI12_IPR051445_1_1-137,mostly_Ly6
A0A8I6AVK8_IPR016054_1_118-200,mixture
A0A974HDB2_IPR045860_2_48-130,Ly6
A0A9N9SCS8_IPR045860_1_19-109,Ly6
A0AAD4RAP5_IPR045860_1_16-126,Ly6
A0AAV6YYU5_IPR045860_2_112-201,mostly_Ly6
A0AAV7PZR4_IPR045860_2_114-222,Ly6
F6Q0C7_IPR016054_3_33-111,mixture
A0A218UKU1_IPR039457_1_6-72,mixture
A0A7K6EXR5_IPR039457_1_1-91,mixture
A0A7R9P8Q2_IPR039457_1_18-166,mixture
A0A8S1CFF1_IPR039457_1_53-150,mixture
A0A094ZV75_IPR031424_1_24-165,none
A0A0L8GXK5_IPR045860_1_17-112,mixture
A0A1Y3AYX1_IPR031424_1_8-70,mixture
A0A5K3FB28_IPR031424_1_38-146,mixture
A0A834XXW6_IPR045860_1_25-117,none
A0A8I6RRD0_IPR031424_1_24-112,Quiver
A0A8J2HNT4_IPR031424_1_6-91,none
A0A8W8K6C2_IPR031424_1_1-67,mixture
A0A914E4N2_IPR031424_1_2-122,mixture
A0AAW1URC3_IPR045860_1_18-105,mixture
A0A2H1W8S6_IPR045860_1_2-65,none
G3TYI9_IPR016054_2_164-219,mixture
M7C222_IPR045860_3_8-70,Ly6
A0A183MZ51_IPR031424_1_26-124,mixture
A0A1Y1LGN0_IPR045860_1_34-109,mixture
A0A7F5RM31_IPR045860_1_17-109,mixture
A0A7J7K6D5_IPR031424_1_121-210,none
A0A3N0YL70_IPR045860_1_20-97,none
A0A401PND9_IPR045860_1_24-95,none
A0A4U5PGP9_IPR045860_1_12-88,mixture
A0A553NEH9_IPR045860_1_44-126,none
A0AAN8G8R9_IPR039457_1_5-162,none
A0A8J6H8Z6_IPR031424_1_441-544,mixture
A0A9P0NU81_IPR031424_1_23-142,mixture
A0A9X6NF42_IPR031424_1_21-112,mixture
A0A0B2V4Y2_IPR045860_1_13-87,Ly6
A0A0K0CWW9_IPR045860_1_1-51,none
A0A0N4XE99_IPR045860_1_18-91,mixture
A0A0R3PZF4_IPR045860_1_3-88,none
A0A0S7EPF1_IPR045860_1_52-146,none
A0A212CDR5_IPR045860_1_10-59,none
A0A261CIU9_IPR045860_1_35-107,mixture
A0A7M7PG63_IPR045860_1_235-318,mixture
A0A7R9MV90_IPR045860_1_1-81,none
A0A811KCP2_IPR045860_1_7-113,mixture
A0A814Z966_IPR045860_1_73-127,none
A0A8B8CBB0_IPR045860_1_86-154,none
A0A9W9YWU5_IPR045860_2_41-125,none
A0AA36DFK1_IPR045860_1_24-105,Ly6
A0AA85J9Z2_IPR045860_1_24-107,Ly6
A0AAD9JRU8_IPR045860_1_132-199,none
A0AAJ7XFC9_IPR045860_1_33-108,none
A0AAV0A307_IPR045860_1_17-95,Ly6
A0AAW0PGG7_IPR045860_2_12-74,none
Centipede3FTx_0081_61981,manually_annotated
Centipede3FTx_0145_984703,manually_annotated
A0AA35P1B0_IPR039237_1_1-124,mostly_Ly6
A0A1S3T2Q1_IPR045860_2_23-147,Ly6
A0A2I0TLQ1_IPR016054_1_21-168,mixture
A0A9D4BTS2_IPR045860_1_105-191,none
A6HS10_IPR045860_1_68-117,none
L5KM81_IPR045860_1_20-179,none
A0A4Z2D990_IPR045860_1_6-60,mixture
A0A672HY17_IPR045860_2_27-104,mostly_Ly6
A0A6G0ITJ9_IPR045860_1_9-91,Ly6
A0A8T2IS80_IPR045860_1_14-109,mostly_Ly6
A0A8D2B8Y1_IPR035076_1_16-82,mixture
A0AAF3EX73_IPR045860_1_18-106,none
A0A452RA57_IPR038773_1_89-159,none
A0A6P7YNT8_IPR045860_2_2-58,Ly6
A0AAV1NYR3_IPR045860_1_19-102,mostly_Ly6
