identifier,protein_display_name,functional_group,is_transmembrane,is_helix,is_beta,has_signal,pfam,primary_interpro_id,primary_interpro_short_name,phylum,order,family,genus,species,organism_id
P01391,Alpha-cobratoxin (Alpha-CT) (Alpha-CbT) (Alpha-Cbtx) (Alpha-Ctx) (Alpha-elapitoxin-Nk2a) (Alpha-EPTX-Nk2a) (Long neurotoxin 1) (Siamensis 3),Long-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
P01398,Kappa-bungarotoxin (Kappa-bgt) (Kappa-1-bungarotoxin) (Long neurotoxin 2) (Neuronal bungarotoxin) (nBgt) (Toxin F),Long-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus,8616.0
P01445,Cytotoxin 2 (CX2) (Toxin CM-7A),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
P01446,Cytotoxin 3 (CX3) (Toxin CM-7),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
P05533,Lymphocyte antigen 6A-2/6E-1 (Ly-6A.2/Ly-6E.1) (Stem cell antigen 1) (SCA-1) (T-cell-activating protein) (TAP),,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
P0C1Z0,Fasciculin-2 (Fas-2) (Fas2) (Acetylcholinesterase toxin F-VII) (Fasciculin-II) (FAS-II) (Toxin TA1),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,8618.0
P0DKR6,Mambalgin-1 (Mamb-1) (Pi-Dp1),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,8620.0
P0DP57,Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2),Ly6,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
P0DP58,Ly-6/neurotoxin-like protein 1 (Endogenous prototoxin LYNX1) (Testicular tissue protein Li 112),Ly6,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
P0DP60,Ly-6/neurotoxin-like protein 1 (GC26),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
P0DPQ9,Protein Bouncer,,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Cypriniformes,Danionidae,Danio,Danio rerio,7955.0
P13987,CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
P27274,CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus,10116.0
P28375,Dendroaspin (Glycoprotein IIb-IIIa antagonist) (Mambin) (Platelet aggregation inhibitor),Non-standard,False,False,False,False,,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis jamesoni,8619.0
P55000,Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B) (ARS(component B)-81/S) (Anti-neoplastic urinary protein) (ANUP),Ly6,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
P60305,Cytotoxin 1 (CTX1) (CX1) (Cardiotoxin F8) (Cardiotoxin-I) (CTX-I) (Toxin CM-6),,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
P60615,"Alpha-bungarotoxin (Alpha-Bgtx) (Alpha-Btx) (Alpha-bungarotoxin, isoform A31) (Alpha-BTX A31) (Alpha-BgTx(A31)) (Alpha-bungarotoxin (A31)) (BGTX A31) (Alpha-elapitoxin-Bm2a) (Alpha-EPTX-Bm2a) (Long neurotoxin 1)",Long-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus,8616.0
P60770,Cobrotoxin (CBT) (CBTX) (CTX) (Atratoxin) (Cobratide) (Short neurotoxin 1),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P60775,Erabutoxin a (ETXA) (Ea) (Short neurotoxin 1a),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata,8631.0
P80958,Cobrotoxin-b (CBT-b) (Atratoxin-b) (Cobrotoxin III) (CBT-III) (Cobrotoxin IV) (CBT IV) (NT3) (Short neurotoxin),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P82935,Tryptophan-containing weak neurotoxin (WTX),Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
P83302,Neurotoxin Oh9-1 (OMEGA-neurotoxin Oh9-1) (Three-finger toxin) (3FTx),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,8665.0
P85092,Toxin AdTx1 (Rho-elapitoxin-Da1a) (Rho-Da1a) (Rho-EPTX-Da1a),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,8618.0
Q06ZW0,Denmotoxin,Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Colubridae,Boiga,Boiga dendrophila,46286.0
Q09098,Prostate and testis expressed protein 4 (Calcium transport inhibitor) (Caltrin) (PATE-like protein B) (PATE-B) (Seminal vesicle protein 7) (Seminal vesicle protein VII) (SVS VII),,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q14210,Lymphocyte antigen 6D (Ly-6D) (E48 antigen),Ly6,False,False,False,True,PF00087;,IPR042339,Ly6D,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q16553,Lymphocyte antigen 6E (Ly-6E) (Retinoic acid-induced gene E protein) (RIG-E) (Stem cell antigen 2) (SCA-2) (Thymic shared antigen 1) (TSA-1),Ly6,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q53B58,Alpha-elapitoxin-Oh3a (CM-11) (Long neurotoxin OH-55),Long-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,8665.0
Q5SRR4,Lymphocyte antigen 6 complex locus protein G5c,,False,False,False,True,PF00021;,IPR026110,LY6G5C,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q64253,Lymphocyte antigen 6E (Ly-6E) (Stem cell antigen 2) (Thymic shared antigen 1) (TSA-1),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q66IA6,Ly6/PLAUR domain-containing protein 6,,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Cypriniformes,Danionidae,Danio,Danio rerio,7955.0
Q86Y78,Ly6/PLAUR domain-containing protein 6,,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q8BLC3,Ly6/PLAUR domain-containing protein 1 (Ly-6/neurotoxin-like protein 2) (Lynx2),,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q8IV16,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1),Ly6,False,False,False,True,PF00087;,IPR035076,Toxin/TOLIP,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q8K1T6,Lymphocyte antigen 6G6e (Lymphocyte antigen 6 complex locus protein G6e),,False,False,False,True,PF01064;,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q8N2G4,Ly6/PLAUR domain-containing protein 1 (Putative HeLa tumor suppressor) (PHTS),,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q8QGR0,Muscarinic toxin 7 (MT-7) (MT7) (Muscarinic toxin 1) (m1-toxin),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,8618.0
Q8TDM5,Sperm acrosome membrane-associated protein 4 (Sperm acrosomal membrane-associated protein 14),,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q9CWP4,Lymphocyte antigen 6K (Ly-6K),,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q9VII1,UPAR/Ly6 domain-containing protein bero (Protein belly roll),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
Q9VKA0,UPAR/Ly6 domain-containing protein crok (Protein crooked),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
Q9VPR7,UPAR/Ly6 domain-containing protein cold (Protein coiled),,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
Q9VTM6,UPAR/Ly6 domain-containing protein crim (Protein crimpled),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
Q9VZ21,UPAR/Ly6 domain-containing protein rtv (Protein retroactive),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
Q9W3T7,UPAR/Ly6 domain-containing protein bou (Protein boudin),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,7227.0
Q9WUC3,Lymphocyte antigen 6H (Ly-6H),,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q9Z0K7,Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B),,False,False,False,True,PF00087;,IPR035076,Toxin/TOLIP,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q9Z1Q3,Lymphocyte antigen 6 complex locus protein G6d,,False,False,False,True,PF00021;,IPR026524,LY6G6d/LY6G6f,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
U3FAE1,Fulditoxin (Micrurus fulvius dimeric neurotoxin) (SIGMA-neurotoxin) (Three-finger toxin 3a) (3FTx 3a) (Three-finger toxin 9a) (Three-finger toxin 9d) (Three-finger toxin 9e),Short-chain,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus fulvius,8637.0
A0A346CIA0,Sulditoxin subunit A (S.sulphureus dimeric toxin) (Three-finger toxin subunit B),Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Colubridae,Spilotes,Spilotes sulphureus,1899469.0
A0A346CIB3,Sulditoxin subunit B (S.sulphureus dimeric toxin) (Three-finger toxin subunit A),,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Colubridae,Spilotes,Spilotes sulphureus,1899469.0
B3MFC2,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila ananassae,7217.0
B4GAN3,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila persimilis,7234.0
B4HNI3,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila sechellia,7238.0
B4J8Z9,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila grimshawi,7222.0
B4KR21,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila mojavensis,7230.0
B4LQ44,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila virilis,7244.0
B4MQJ1,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila willistoni,7260.0
B4P641,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila yakuba,7245.0
B4QBL6,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila simulans,7240.0
B5E022,UPAR/Ly6 domain-containing protein qvr (Protein quiver) (Protein sleepless),,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,46245.0
C0HJD7,Alpha-elapitoxin-Dpp2d (Alpha-EPTX-Dpp2d),Long-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,8620.0
C1IC47,Three-finger toxin W-III,Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Walterinnesia,Walterinnesia aegyptia,64182.0
C1IC49,Three-finger toxin W-V,Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Walterinnesia,Walterinnesia aegyptia,64182.0
E2ITZ3,Alpha-elapitoxin-Na1a (Alpha-EPTX-Na1a) (Three-finger toxin),,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
H2LID1,Protein Bouncer,,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Beloniformes,Adrianichthyidae,Oryzias,Oryzias latipes,8090.0
K9MCH1,Three-finger toxin A1 (MlatA1) (Short chain alpha-neurotoxin A1),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus laticollaris,1240351.0
O62680,CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla,Suidae,Sus,Sus scrofa,9823.0
O77541,CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,9986.0
O94772,Lymphocyte antigen 6H (Ly-6H),Ly6,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
P01379,Alpha-elapitoxin-Ls2a (Alpha-EPTX-Ls2a) (Long neurotoxin Ls3) (LsIII) (Ls III) (Neurotoxin 1) (Neurotoxin alpha),Long-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata,8631.0
P01382,Alpha-elapitoxin-Nno2a (Alpha-EPTX-Nno2a) (Long neurotoxin 1) (Neurotoxin I) (NT I) (Ntx-1) (Toxin I) (NnoI),Long-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja oxiana,8657.0
P01404,Toxin F-VIII (Toxin DaF8) (Toxin TA2),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,8618.0
P01442,Cytotoxin 2 (Cardiotoxin 1A) (Cardiotoxin 2) (CTX-2) (Cardiotoxin A2) (CTX A2) (Cardiotoxin II) (Cardiotoxin analog II),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P01443,Cytotoxin 4 (CTX-4M) (CTX4) (Cardiotoxin A4) (CTX A4) (Cardiotoxin analog IV) (CTX IV),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P01448,Cytotoxin 1 (Cytotoxin V(II)1),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja melanoleuca,8643.0
P01452,Cytotoxin 4 (CTX M3) (Cardiotoxin VII4) (Cytotoxin V(II)4),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja mossambica,8644.0
P01467,Cytotoxin 1 (CTX M1) (Cardiotoxin IIB) (CTX-IIB) (Cytotoxin V(II)1),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja mossambica,8644.0
P01469,Cytotoxin 2 (CTX M2) (Cardiotoxin IIA) (CTX IIA) (Cytotoxin V(II)2),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja mossambica,8644.0
P07525,Cytotoxin 5 (Cardiotoxin A4b) (CTX-A4b) (Cardiotoxin T) (Cardiotoxin analog V) (CTX V) (Cytotoxin D-1) (Membrane toxin D1),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P0C8F1,Prostate and testis expressed protein 4 (PATE-like protein B) (PATE-B),,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
P0DKS3,Mambalgin-2 (Ma-2) (Mamb-2) (Pi-Dp2),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis,8620.0
P0DP62,Ly-6/neurotoxin-like protein 1,,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Cercopithecidae,Macaca,Macaca mulatta,9544.0
P18329,Toxin C13S1C1,Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,8618.0
P35459,Lymphocyte antigen 6D (Ly-6D) (Thymocyte B-cell antigen) (ThB),,False,False,False,True,PF00087;,IPR042339,Ly6D,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
P58019,CD59B glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
P59276,Cobrotoxin-c (CBT-c) (Short neurotoxin II) (NT2),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
P60301,Cytotoxin 3 (Cardiotoxin 3) (CTX-3) (CTX3) (Cardiotoxin A3) (CTX A3) (Cardiotoxin III) (Cardiotoxin analog III) (CTX III),,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P60304,Cytotoxin 1 (CX1) (Cardiotoxin 1) (CTX-1) (CTX1) (Cardiotoxin A1) (CTX A1) (Cardiotoxin I) (Cardiotoxin analog I) (CTX I),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P60616,Alpha-bungarotoxin isoform V31 (Alpha-BTX V31) (Alpha-Bgt(V31)) (BGTX V31) (Long neurotoxin 1),Long-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus,8616.0
P62375,Cytotoxin A5 (CTX A5) (CT A5) (Cardiotoxin A5) (Cardiotoxin V) (CTX V) (CTXV) (Cardiotoxin-like basic polypeptide) (CLBP),,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P80245,Cytotoxin 6 (Cardiotoxin 6) (CTX6) (Cardiotoxin A6) (CTX A6) (Cardiotoxin N) (CTXN) (Ctx-N) (Cytotoxin N),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra,8656.0
P81783,Candoxin,Plesiotypic,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus candidus,92438.0
P82662,Alpha-elapitoxin-Oh2b (Alpha-EPTX-Oh2b) (Alpha-neurotoxin) (LNTX3) (Long neurotoxin OH-6A/OH-6B) (OH-3),Long-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,8665.0
P83107,Secreted protein of Ly-6 domain 1 (Protein BOP1),,,,,,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla,Bovidae,Bos,Bos taurus,9913.0
P86419,Rho-elapitoxin-Da1b (Rho-Da1b) (Rho-EPTX-Da1b),Short-chain,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps,8618.0
Q17RY6,Lymphocyte antigen 6K (Ly-6K),Ly6,False,False,False,True,PF00087;,IPR035076,Toxin/TOLIP,Chordata,Primates,Hominidae,Homo,Homo sapiens,9606.0
Q3UN54,Prostate and testis expressed protein 14 (Secreted seminal-vesicle Ly-6 protein 1) (SSLP-1),,,,,,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q45Z11,Short neurotoxin 1 (SNTX-1) (Toxin 3),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus,8667.0
Q66H42,Ly6/PLAUR domain-containing protein 1,,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus,10116.0
Q69CK0,Beta-cardiotoxin CTX27 (OH-27),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah,8665.0
Q7LZI1,Phospholipase A2 inhibitor 31 kDa subunit (gamma-PLI),,False,False,False,False,PF02988;PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata,Elapidae,Naja,Naja kaouthia,8649.0
Q7T2I5,Erabutoxin c (ETXC) (Ec) (Short neurotoxin 1c),Short-chain,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata,8631.0
Q80ZQ0,Sperm acrosome membrane-associated protein 4,,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
Q8BPP5,Ly6/PLAUR domain-containing protein 6,,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Rodentia,Muridae,Mus,Mus musculus,10090.0
