protein_id,protein_name,organism,sequence_length,tax_id,interpro_1,interpro_2,interpro_3,interpro_4
A0A023EFU8,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),159,,IPR031424,,,
A0A023EGA3,Putative retrotransposon-like 1,Aedes albopictus (Asian tiger mosquito),142,7160.0,IPR031424,IPR045860,,
A0A023EGD3,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),165,,IPR031424,,,
A0A023EGD7,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),142,7160.0,IPR031424,IPR045860,,
A0A023EGK6,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),145,,IPR031424,,,
A0A023EGM3,Putative salivary protein mys,Aedes albopictus (Asian tiger mosquito),169,,IPR031424,,,
A0A023EGQ7,Putative secreted protein,Aedes albopictus,148,7160.0,IPR045860,,,
A0A023EGZ6,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),151,,IPR031424,,,
A0A023EH01,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),151,,IPR031424,,,
A0A023EH46,UPAR/Ly6 domain-containing protein,Aedes albopictus,154,7160.0,IPR045860,,,
A0A023EHP3,Putative secreted protein,Aedes albopictus (Asian tiger mosquito),165,,IPR031424,,,
A0A023ET35,Serine/threonine-protein kinase receptor,Aedes albopictus,488,7160.0,IPR045860,,,
A0A023ETA7,receptor protein serine/threonine kinase,Aedes albopictus,506,7160.0,IPR045860,,,
A0A023EU41,receptor protein serine/threonine kinase,Aedes albopictus,575,7160.0,IPR045860,,,
A0A023F354,receptor protein serine/threonine kinase,Triatoma infestans,504,30076.0,IPR045860,,,
A0A023F3N5,Serine/threonine-protein kinase receptor,Triatoma infestans,488,30076.0,IPR045860,,,
A0A023FD89,Putative salivary protein mys,Triatoma infestans (Assassin bug),162,,IPR031424,,,
A0A023FIR5,receptor protein serine/threonine kinase,Amblyomma cajennense,393,34607.0,IPR045860,,,
A0A023FSX4,Putative tpa exp: secreted protein,Amblyomma cajennense (Cayenne tick),144,34607.0,IPR031424,IPR045860,,
A0A023FT47,Putative tpa exp: secreted protein,Amblyomma cajennense (Cayenne tick),145,34607.0,IPR031424,IPR045860,,
A0A023FT50,Putative secreted protein,Amblyomma parvum (South American tick),153,,IPR031424,,,
A0A023G0Q8,Putative secreted protein,Amblyomma parvum (South American tick),144,251391.0,IPR031424,IPR045860,,
A0A023G146,Putative secreted protein,Amblyomma parvum (South American tick),156,,IPR031424,,,
A0A023G553,Putative secreted protein,Amblyomma triste (Neotropical tick),160,,IPR031424,,,
A0A023G6N9,Putative secreted protein,Amblyomma triste,142,251400.0,IPR045860,,,
A0A023G7S0,Putative kunitz-like protein,Amblyomma triste (Neotropical tick),158,251400.0,IPR031424,IPR045860,,
A0A023GC97,Putative tpa exp: secreted protein,Amblyomma triste (Neotropical tick),144,251400.0,IPR031424,IPR045860,,
A0A024AX16,Short neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),83,66188.0,IPR003571,IPR045860,,
A0A024AXD4,Short neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),83,66188.0,IPR003571,IPR045860,,
A0A024AXD8,Long neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),104,66188.0,IPR003571,IPR045860,,
A0A024AXH2,Long neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),104,66188.0,IPR003571,IPR045860,,
A0A024AXY1,Long neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),103,66188.0,IPR003571,IPR045860,,
A0A024AYC2,Short neurotoxin,Micropechis ikaheca (New Guinean small-eyed snake),83,66188.0,IPR003571,IPR045860,,
A0A026VTG0,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),150,2015173.0,IPR031424,IPR045860,,
A0A026W1P1,receptor protein serine/threonine kinase,Ooceraea biroi,584,2015173.0,IPR045860,,,
A0A026W1W7,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),136,,IPR031424,,,
A0A026W3X9,receptor protein serine/threonine kinase,Ooceraea biroi,516,2015173.0,IPR045860,,,
A0A026W484,Serine/threonine-protein kinase receptor,Ooceraea biroi,958,2015173.0,IPR045860,,,
A0A026W6D0,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),117,,IPR031424,,,
A0A026W6Q2,Protein sleepless,Ooceraea biroi (Clonal raider ant),136,,IPR031424,,,
A0A026W9I0,Cationic amino acid transporter C-terminal domain-containing protein,Ooceraea biroi,718,2015173.0,IPR045860,,,
A0A026WAX7,UPAR/Ly6 domain-containing protein,Ooceraea biroi,78,2015173.0,IPR045860,,,
A0A026WKC9,BMP and activin membrane-bound inhibitor-like protein,Ooceraea biroi,558,2015173.0,IPR045860,,,
A0A026WLW1,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),153,,IPR031424,,,
A0A026WMK1,UPAR/Ly6 domain-containing protein,Ooceraea biroi (Clonal raider ant),130,2015173.0,IPR016054,IPR031424,IPR045860,
A0A026WSB3,Serine/threonine-protein kinase receptor,Ooceraea biroi,488,2015173.0,IPR045860,,,
A0A026WWB0,Protein quiver,Ooceraea biroi,166,2015173.0,IPR045860,,,
A0A026WXJ4,Activin types I and II receptor domain-containing protein,Ooceraea biroi,74,2015173.0,IPR045860,,,
A0A026WXM5,Activin types I and II receptor domain-containing protein,Ooceraea biroi,92,2015173.0,IPR045860,,,
A0A026X1Y6,Ig-like domain-containing protein,Ooceraea biroi (Clonal raider ant),507,,IPR031424,,,
A0A026X279,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),249,,IPR039457,,,
A0A026X3L7,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),138,2015173.0,IPR031424,IPR045860,,
A0A034VB44,receptor protein serine/threonine kinase,Bactrocera dorsalis,497,27457.0,IPR045860,,,
A0A034VCA2,Uncharacterized protein,Bactrocera dorsalis (Oriental fruit fly),109,,IPR031424,,,
A0A034VD90,receptor protein serine/threonine kinase,Bactrocera dorsalis,538,27457.0,IPR045860,,,
A0A034VF06,Uncharacterized protein,Bactrocera dorsalis (Oriental fruit fly),150,,IPR031424,,,
A0A034VLL4,LOW QUALITY PROTEIN: uncharacterized protein LOC105233276,Bactrocera dorsalis (Oriental fruit fly),153,,IPR031424,,,
A0A034VR30,Uncharacterized protein LOC105224753 isoform X1,Bactrocera dorsalis (Oriental fruit fly),162,,IPR031424,,,
A0A034VX52,Serine/threonine-protein kinase receptor,Bactrocera dorsalis,532,27457.0,IPR045860,,,
A0A034VZQ8,Uncharacterized protein LOC105232838,Bactrocera dorsalis (Oriental fruit fly),168,27457.0,IPR031424,IPR045860,,
A0A034W2Y1,UPAR/Ly6 domain-containing protein qvr,Bactrocera dorsalis (Oriental fruit fly),278,,IPR031424,,,
A0A034W385,Protein sleepless,Bactrocera dorsalis (Oriental fruit fly),129,,IPR031424,,,
A0A034W4W8,Protein sleepless,Bactrocera dorsalis (Oriental fruit fly),141,,IPR031424,,,
A0A034W5E4,receptor protein serine/threonine kinase,Bactrocera dorsalis,386,27457.0,IPR045860,,,
A0A034WDG5,Uncharacterized protein LOC105223094,Bactrocera dorsalis (Oriental fruit fly),157,27457.0,IPR031424,IPR045860,,
A0A034WE14,UPAR/Ly6 domain-containing protein,Bactrocera dorsalis,152,27457.0,IPR045860,,,
A0A034WEC6,Protein sleepless,Bactrocera dorsalis (Oriental fruit fly),159,,IPR031424,,,
A0A034WG99,Uncharacterized protein,Bactrocera dorsalis (Oriental fruit fly),159,,IPR031424,,,
A0A034WGA7,Uncharacterized protein,Bactrocera dorsalis (Oriental fruit fly),147,,IPR031424,,,
A0A034WGT7,Uncharacterized protein LOC105223518,Bactrocera dorsalis (Oriental fruit fly),141,,IPR031424,,,
A0A034WID6,Protein sleepless,Bactrocera dorsalis,181,27457.0,IPR045860,,,
A0A034WKB7,Uncharacterized protein LOC105223513,Bactrocera dorsalis (Oriental fruit fly),154,,IPR031424,,,
A0A034WML7,Uncharacterized protein LOC105223517,Bactrocera dorsalis (Oriental fruit fly),151,,IPR031424,,,
A0A034WMN3,receptor protein serine/threonine kinase,Bactrocera dorsalis,497,27457.0,IPR045860,,,
A0A034WQS1,Uncharacterized protein LOC105223093,Bactrocera dorsalis (Oriental fruit fly),151,27457.0,IPR031424,IPR045860,,
A0A034WS22,Snake toxin/toxin-like domain-containing protein,Bactrocera dorsalis,168,27457.0,IPR045860,,,
A0A034WTM3,Uncharacterized protein LOC105226888 isoform X2,Bactrocera dorsalis (Oriental fruit fly),154,,IPR031424,,,
A0A034WVZ2,receptor protein serine/threonine kinase,Bactrocera dorsalis,574,27457.0,IPR045860,,,
A0A060CQ75,Serine/threonine-protein kinase receptor,Pinctada imbricata,522,66713.0,IPR045860,,,
A0A060VR30,Activin receptor type-1C,Oncorhynchus mykiss,496,8022.0,IPR045860,,,
A0A060VU17,Activin types I and II receptor domain-containing protein,Oncorhynchus mykiss,202,8022.0,IPR045860,,,
A0A060VWB6,Activin receptor type-1,Oncorhynchus mykiss,203,8022.0,IPR045860,,,
A0A060VXI2,TGF-beta receptor type-2,Oncorhynchus mykiss,571,8022.0,IPR045860,,,
A0A060VXW0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),127,8022.0,IPR016054,IPR045860,,
A0A060VYF4,receptor protein serine/threonine kinase,Oncorhynchus mykiss,530,8022.0,IPR045860,,,
A0A060VZI6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),300,8022.0,IPR016054,IPR045860,,
A0A060VZK8,Ly6/PLAUR domain-containing protein 6,Oncorhynchus mykiss (Rainbow trout),173,8022.0,IPR039457,IPR045860,,
A0A060W0E9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),125,8022.0,IPR016054,IPR045860,,
A0A060W1J6,Ly6/PLAUR domain-containing protein 6B,Oncorhynchus mykiss (Rainbow trout),182,8022.0,IPR039457,IPR045860,,
A0A060W1Q1,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss,118,8022.0,IPR045860,,,
A0A060W3R1,MAC-inhibitory protein,Oncorhynchus mykiss (Rainbow trout),118,8022.0,IPR016054,IPR045860,,
A0A060W6L9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),272,8022.0,IPR016054,IPR045860,,
A0A060W9B4,receptor protein serine/threonine kinase,Oncorhynchus mykiss,532,8022.0,IPR045860,,,
A0A060WBR6,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,595,8022.0,IPR045860,,,
A0A060WE72,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,597,8022.0,IPR045860,,,
A0A060WE82,BMP and activin membrane-bound inhibitor homolog,Oncorhynchus mykiss,257,8022.0,IPR045860,,,
A0A060WHB6,receptor protein serine/threonine kinase,Oncorhynchus mykiss,504,8022.0,IPR045860,,,
A0A060WIW4,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,510,8022.0,IPR045860,,,
A0A060WNJ0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),119,8022.0,IPR016054,IPR045860,,
A0A060WNK5,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,548,8022.0,IPR045860,,,
A0A060WPJ6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),119,8022.0,IPR016054,IPR045860,,
A0A060WS29,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,497,8022.0,IPR045860,,,
A0A060WUH0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),228,8022.0,IPR016054,IPR035076,IPR045860,
A0A060WWH6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss,72,8022.0,IPR045860,,,
A0A060WWR4,BMP and activin membrane-bound inhibitor homolog,Oncorhynchus mykiss,257,8022.0,IPR045860,,,
A0A060X4A6,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),139,8022.0,IPR016054,IPR045860,,
A0A060X609,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),207,8022.0,IPR016054,IPR035076,IPR045860,
A0A060X649,receptor protein serine/threonine kinase,Oncorhynchus mykiss,507,8022.0,IPR045860,,,
A0A060XC14,Activin types I and II receptor domain-containing protein,Oncorhynchus mykiss,137,8022.0,IPR045860,,,
A0A060XFG1,receptor protein serine/threonine kinase,Oncorhynchus mykiss,530,8022.0,IPR045860,,,
A0A060XFN3,Uncharacterized protein,Oncorhynchus mykiss,88,8022.0,IPR045860,,,
A0A060XGJ4,Activin receptor type-1C,Oncorhynchus mykiss,589,8022.0,IPR045860,,,
A0A060XH26,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),209,8022.0,IPR016054,IPR035076,IPR045860,
A0A060XI52,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss,187,8022.0,IPR045860,,,
A0A060XKZ8,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,497,8022.0,IPR045860,,,
A0A060XL06,Ly6/PLAUR domain-containing protein 6B,Oncorhynchus mykiss (Rainbow trout),176,8022.0,IPR039457,IPR045860,,
A0A060XLW9,receptor protein serine/threonine kinase,Oncorhynchus mykiss,264,8022.0,IPR045860,,,
A0A060XUK5,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss,88,8022.0,IPR045860,,,
A0A060XUZ0,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss,127,8022.0,IPR045860,,,
A0A060Y1D8,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),150,8022.0,IPR016054,IPR035076,IPR045860,
A0A060Y258,Activin receptor type-1C,Oncorhynchus mykiss,484,8022.0,IPR045860,,,
A0A060Y2D3,CD59 glycoprotein-like,Oncorhynchus mykiss,88,8022.0,IPR045860,,,
A0A060Y2T9,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),128,8022.0,IPR016054,IPR035076,IPR045860,
A0A060Y659,receptor protein serine/threonine kinase,Oncorhynchus mykiss,502,8022.0,IPR045860,,,
A0A060Y7N7,Nck-associated protein 5 C-terminal domain-containing protein,Oncorhynchus mykiss,1758,8022.0,IPR045860,,,
A0A060YAJ4,Activin receptor type-2B,Oncorhynchus mykiss,212,8022.0,IPR045860,,,
A0A060YB07,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),125,8022.0,IPR016054,IPR045860,,
A0A060YCK4,Serine/threonine-protein kinase receptor,Oncorhynchus mykiss,579,8022.0,IPR045860,,,
A0A060YF83,Activin types I and II receptor domain-containing protein,Oncorhynchus mykiss,133,8022.0,IPR045860,,,
A0A060YHN4,Activin receptor type-1,Oncorhynchus mykiss,678,8022.0,IPR045860,,,
A0A060YK15,Activin types I and II receptor domain-containing protein,Oncorhynchus mykiss,187,8022.0,IPR045860,,,
A0A060YMT4,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),133,8022.0,IPR016054,IPR045860,,
A0A060YPT9,receptor protein serine/threonine kinase,Oncorhynchus mykiss,491,8022.0,IPR045860,,,
A0A060YQM3,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss (Rainbow trout),131,8022.0,IPR016054,IPR045860,,
A0A060YRI5,UPAR/Ly6 domain-containing protein,Oncorhynchus mykiss,153,8022.0,IPR045860,,,
A0A060ZA58,Snake toxin/toxin-like domain-containing protein,Oncorhynchus mykiss (Rainbow trout),116,8022.0,IPR035076,IPR045860,,
A0A060ZFP8,TGF-beta receptor type-2,Oncorhynchus mykiss,139,8022.0,IPR045860,,,
A0A061A7G3,Activin types I and II receptor domain-containing protein,Oncorhynchus mykiss,95,8022.0,IPR045860,,,
A0A061HTZ0,Phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,Cricetulus griseus,89,10029.0,IPR045860,,,
A0A061HU62,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),255,10029.0,IPR016054,IPR045860,,
A0A061HUJ3,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),203,10029.0,IPR016054,IPR045860,,
A0A061HV01,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),186,10029.0,IPR016054,IPR045860,,
A0A061HW29,G-protein coupled receptors family 1 profile domain-containing protein,Cricetulus griseus,538,10029.0,IPR045860,,,
A0A061HX69,G-protein coupled receptors family 1 profile domain-containing protein,Cricetulus griseus,535,10029.0,IPR045860,,,
A0A061HZ68,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1155,,IPR016054,,,
A0A061HZK1,G-protein coupled receptors family 1 profile domain-containing protein,Cricetulus griseus,551,10029.0,IPR045860,,,
A0A061HZU9,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1252,,IPR016054,,,
A0A061I168,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),96,10029.0,IPR016054,IPR045860,,
A0A061I206,Reverse transcriptase domain-containing protein,Cricetulus griseus (Chinese hamster),1257,,IPR016054,,,
A0A061I5Z7,Serine/threonine-protein kinase receptor,Cricetulus griseus,550,10029.0,IPR045860,,,
A0A061I7N0,Serine/threonine-protein kinase receptor,Cricetulus griseus,559,10029.0,IPR045860,,,
A0A061I843,Serine/threonine-protein kinase receptor,Cricetulus griseus,542,10029.0,IPR045860,,,
A0A061I9V2,Serine/threonine-protein kinase receptor,Cricetulus griseus,517,10029.0,IPR045860,,,
A0A061IDA7,Lymphocyte antigen 6H,Cricetulus griseus (Chinese hamster),134,10029.0,IPR016054,IPR045860,IPR051445,
A0A061IEB5,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),184,10029.0,IPR016054,IPR045860,IPR051445,
A0A061IGR0,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),139,10029.0,IPR016054,IPR045860,IPR051445,
A0A061IHV1,C2H2-type domain-containing protein,Cricetulus griseus (Chinese hamster),400,10029.0,IPR035076,IPR045860,,
A0A061IIK1,Ig-like domain-containing protein,Cricetulus griseus (Chinese hamster),301,,IPR026524,,,
A0A061IIT9,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),196,10029.0,IPR016054,IPR035076,IPR045860,
A0A061IJJ7,Ig-like domain-containing protein,Cricetulus griseus (Chinese hamster),302,,IPR026524,,,
A0A061IJZ1,C2H2-type domain-containing protein,Cricetulus griseus (Chinese hamster),435,10029.0,IPR035076,IPR045860,,
A0A061IN68,"TGF-beta receptor/activin receptor, type I/II containing protein",Cricetulus griseus (Chinese hamster),331,10029.0,IPR016054,IPR039237,IPR045860,
A0A067QST0,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),123,,IPR031424,,,
A0A067R0Q2,UPAR/Ly6 domain-containing protein,Zootermopsis nevadensis,106,136037.0,IPR045860,,,
A0A067R4K6,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),140,,IPR031424,,,
A0A067R4V8,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),161,,IPR031424,,,
A0A067R5J7,receptor protein serine/threonine kinase,Zootermopsis nevadensis,570,136037.0,IPR045860,,,
A0A067R6Z0,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),177,,IPR031424,,,
A0A067R728,Secreted protein,Zootermopsis nevadensis,114,136037.0,IPR045860,,,
A0A067R751,receptor protein serine/threonine kinase,Zootermopsis nevadensis,1049,136037.0,IPR045860,,,
A0A067RB70,UPAR/Ly6 domain-containing protein qvr,Zootermopsis nevadensis (Dampwood termite),137,,IPR031424,,,
A0A067RDS9,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),155,,IPR031424,,,
A0A067RDT4,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),125,136037.0,IPR031424,IPR045860,,
A0A067RGD8,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),157,,IPR031424,,,
A0A067RGE3,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),150,,IPR031424,,,
A0A067RGF1,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),133,136037.0,IPR031424,IPR045860,,
A0A067RGR4,Uncharacterized protein,Zootermopsis nevadensis (Dampwood termite),155,,IPR031424,,,
A0A067RJL8,receptor protein serine/threonine kinase,Zootermopsis nevadensis,508,136037.0,IPR045860,,,
A0A067RJQ7,Serine/threonine-protein kinase receptor,Zootermopsis nevadensis,517,136037.0,IPR045860,,,
A0A067RK03,Protein quiver,Zootermopsis nevadensis,127,136037.0,IPR045860,,,
A0A067RRM3,BMP and activin membrane-bound inhibitor C-terminal domain-containing protein,Zootermopsis nevadensis,337,136037.0,IPR045860,,,
A0A068CNG1,receptor protein serine/threonine kinase,Hofstenia miamia,745,442651.0,IPR045860,,,
A0A068W7A7,UPAR/Ly6 domain-containing protein qvr,Echinococcus granulosus (Hydatid tapeworm),165,,IPR031424,,,
A0A068W9Y0,Protein quiver; Steroid dehydrogenase,Echinococcus granulosus (Hydatid tapeworm),181,,IPR031424,,,
