query	target	fident	alnlen	nident	mismatch	gapopen	qstart	qend	tstart	tend	qcov	tcov	evalue	bits
P25682	A0A6P7P0V5	0.316	79	25	37	5	1	62	21	99	0.984	0.632	2.330E-04	35
P25682	A0AAW2GXK0	0.280	75	21	39	2	1	62	26	98	0.984	0.570	2.330E-04	35
P25682	A0AB13A3T4	0.292	65	19	42	1	2	62	112	176	0.968	0.327	2.330E-04	35
P25682	P29181	0.323	65	21	40	2	1	62	1	64	0.984	0.985	3.211E-04	35
P25682	P01401	0.338	65	22	39	2	1	62	1	64	0.984	0.985	3.211E-04	35
P25682	A0AAW1BLH3	0.322	62	20	39	2	1	62	24	82	0.984	0.711	3.211E-04	35
P25682	E2ITZ2	0.312	64	20	40	2	2	62	23	85	0.968	0.733	3.211E-04	35
P25682	D5J9P5	0.358	53	19	24	2	17	63	40	88	0.746	0.557	3.211E-04	35
P25682	D5J9P6	0.358	53	19	24	2	17	63	40	88	0.746	0.557	3.211E-04	35
P25682	A0A194QHZ0	0.500	24	12	12	0	39	62	70	93	0.381	0.205	3.211E-04	35
P25682	A0A8C5WP06	0.338	68	23	39	4	1	62	25	92	0.984	0.557	3.211E-04	35
P25682	A0A6B2F1P3	0.279	68	19	43	1	1	62	25	92	0.984	0.557	3.211E-04	35
P25682	A0A811ZZB3	0.342	73	25	37	3	1	62	21	93	0.984	0.589	3.211E-04	35
P25682	A0A7M7GN27	0.458	24	11	13	0	39	62	76	99	0.381	0.192	3.211E-04	35
P25682	A0A9D3S6H5	0.325	80	26	35	5	1	62	21	99	0.984	0.622	3.211E-04	35
P25682	A0A8D0CWN2	0.318	66	21	40	3	2	62	62	127	0.968	0.437	3.211E-04	35
P25682	A0A8C9XVP9	0.318	66	21	40	3	2	62	108	173	0.968	0.335	3.211E-04	35
P25682	P85520	0.323	65	21	40	2	1	62	1	64	0.984	0.985	4.426E-04	34
P25682	A0AAW1BL01	0.276	65	18	43	2	1	62	22	85	0.984	0.753	4.426E-04	34
P25682	Q8AY50	0.307	65	20	41	2	1	62	22	85	0.984	0.744	4.426E-04	34
P25682	Q8AY51	0.307	65	20	41	2	1	62	22	85	0.984	0.744	4.426E-04	34
P25682	A0A8C0DFW3	0.342	73	25	37	4	1	62	12	84	0.984	0.635	4.426E-04	34
P25682	A0A9Q0Y6C4	0.314	70	22	38	3	1	62	25	92	0.984	0.576	4.426E-04	34
P25682	A0A3M7Q6P4	0.333	72	24	38	5	1	62	23	94	0.984	0.605	4.426E-04	34
P25682	A0A813YCB4	0.370	54	20	27	2	16	62	46	99	0.746	0.454	4.426E-04	34
P25682	J3SBY7	0.279	68	19	43	1	1	62	25	92	0.984	0.557	4.426E-04	34
P25682	A0A1V4JVU7	0.342	76	26	34	5	1	63	21	93	1.000	0.598	4.426E-04	34
P25682	T1DNJ2	0.279	68	19	43	1	1	62	25	92	0.984	0.557	4.426E-04	34
P25682	A0A6B2FBT5	0.279	68	19	43	1	1	62	25	92	0.984	0.557	4.426E-04	34
P25682	A0A8B8VNK7	0.342	73	25	37	4	1	62	21	93	0.984	0.589	4.426E-04	34
P25682	A0A1S3AI33	0.342	76	26	35	6	1	63	21	94	1.000	0.597	4.426E-04	34
P25682	A0A8C6FNH2	0.278	79	22	41	3	1	63	23	101	1.000	0.617	4.426E-04	34
P25682	A0A4W2CL51	0.278	79	22	41	3	1	63	23	101	1.000	0.617	4.426E-04	34
P25682	A0A813V367	0.309	55	17	31	2	16	63	51	105	0.762	0.401	4.426E-04	34
P25682	A0A819DNG2	0.309	55	17	31	2	16	63	51	105	0.762	0.401	4.426E-04	34
P25682	A0A6P8ZJ16	0.346	52	18	31	2	12	62	57	106	0.810	0.360	4.426E-04	34
P25682	A0A3B3U480	0.312	80	25	37	4	1	62	44	123	0.984	0.563	4.426E-04	34
P25682	A0AAW0MP74	0.328	70	23	38	4	1	62	101	169	0.984	0.392	4.426E-04	34
P25682	A0A671PJ93	0.343	64	22	36	2	3	62	101	162	0.952	0.335	4.426E-04	34
P25682	A0A8C6XDU5	0.307	65	20	41	2	1	62	1	64	0.984	0.985	6.100E-04	34
P25682	A0A898IPI9	0.320	50	16	27	2	16	62	35	80	0.746	0.568	6.100E-04	34
P25682	Q9YGI1	0.303	66	20	42	2	1	63	22	86	1.000	0.756	6.100E-04	34
P25682	A0A898IJN7	0.307	65	20	41	2	1	62	22	85	0.984	0.727	6.100E-04	34
P25682	A0AAW1EL74	0.349	63	22	33	2	1	62	20	75	0.984	0.571	6.100E-04	34
P25682	A0A974CLJ7	0.333	63	21	34	2	9	63	9	71	0.873	0.630	6.100E-04	34
P25682	A0AAQ4NR67	0.333	63	21	33	3	1	62	18	72	0.984	0.505	6.100E-04	34
P25682	A0A6I9M4G0	0.305	72	22	36	4	1	62	21	88	0.984	0.613	6.100E-04	34
P25682	A0AAN7P477	0.458	24	11	13	0	39	62	72	95	0.381	0.205	6.100E-04	34
P25682	A0A8C5QXN3	0.328	73	24	35	5	1	62	23	92	0.984	0.598	6.100E-04	34
P25682	A0A6P7WXL4	0.311	77	24	39	3	1	63	16	92	1.000	0.642	6.100E-04	34
P25682	A0A2Y9GYR3	0.301	73	22	40	4	1	62	21	93	0.984	0.589	6.100E-04	34
P25682	A0A9Q1FAX6	0.312	80	25	36	5	1	62	21	99	0.984	0.622	6.100E-04	34
P25682	A0A833ZP93	0.287	73	21	41	3	1	62	21	93	0.984	0.570	6.100E-04	34
P25682	A0AAJ7PZG7	0.345	81	28	34	5	1	62	6	86	0.984	0.633	6.100E-04	34
P25682	A0A6J2NAA9	0.287	73	21	41	3	1	62	21	93	0.984	0.570	6.100E-04	34
P25682	A0A8C0A579	0.278	79	22	41	3	1	63	23	101	1.000	0.617	6.100E-04	34
P25682	A0A9C6U3B9	0.303	79	24	35	5	1	62	29	104	0.984	0.589	6.100E-04	34
P25682	A0AA39F4G4	0.298	77	23	36	4	1	62	30	103	0.984	0.569	6.100E-04	34
P25682	A0AA39C7G8	0.298	77	23	36	4	1	62	30	103	0.984	0.565	6.100E-04	34
P25682	A0AAD8FRE1	0.480	25	12	13	0	38	62	6	30	0.397	0.184	6.100E-04	34
P25682	A0AB32TH96	0.323	68	22	40	2	1	62	70	137	0.984	0.425	6.100E-04	34
P25682	P29182	0.323	65	21	40	2	1	62	1	64	0.984	0.985	8.409E-04	34
P25682	A0A6A5EX85	0.328	64	21	32	4	1	61	20	75	0.968	0.747	8.409E-04	34
P25682	A0AAW2AWB5	0.311	61	19	36	2	1	61	21	75	0.968	0.724	8.409E-04	34
P25682	A0AAJ7VHT6	0.295	61	18	37	3	1	61	21	75	0.968	0.714	8.409E-04	34
P25682	A0AAD3MNN2	0.295	61	18	37	3	1	61	21	75	0.968	0.714	8.409E-04	34
P25682	A0A898INL5	0.320	50	16	27	2	16	62	35	80	0.746	0.568	8.409E-04	34
P25682	D5J9P9	0.307	65	20	41	2	1	62	22	85	0.984	0.744	8.409E-04	34
P25682	D5J9Q0	0.323	65	21	40	2	1	62	22	85	0.984	0.744	8.409E-04	34
P25682	D5J9Q1	0.323	65	21	40	2	1	62	22	85	0.984	0.744	8.409E-04	34
P25682	Q8AY49	0.307	65	20	41	2	1	62	22	85	0.984	0.744	8.409E-04	34
P25682	O93422	0.307	65	20	41	2	1	62	22	85	0.984	0.744	8.409E-04	34
P25682	Q9YGI2	0.307	65	20	41	2	1	62	22	85	0.984	0.744	8.409E-04	34
P25682	A0A8J1IVF6	0.310	74	23	37	4	1	62	45	116	0.984	0.615	8.409E-04	34
P25682	A0A670HVX4	0.346	75	26	36	5	1	62	22	96	0.984	0.615	8.409E-04	34
P25682	A0A8C5YXD0	0.315	73	23	39	4	1	62	21	93	0.984	0.593	8.409E-04	34
P25682	A0A7J8C3W1	0.310	74	23	38	4	1	62	20	92	0.984	0.589	8.409E-04	34
P25682	A0A8D0BUW5	0.320	81	26	33	4	1	63	21	97	1.000	0.611	8.409E-04	34
P25682	A0A6P8QV84	0.320	75	24	35	4	1	62	21	92	0.984	0.567	8.409E-04	34
P25682	A0A6J0V7J7	0.482	29	14	12	1	1	26	21	49	0.413	0.180	8.409E-04	34
P25682	A0A7J8C3U0	0.310	74	23	38	4	1	62	60	132	0.984	0.445	8.409E-04	34
P25682	A0AAW0MNB0	0.314	70	22	39	4	1	62	87	155	0.984	0.356	8.409E-04	34
P25682	P29179	0.349	63	22	38	2	1	62	1	61	0.984	0.984	1.159E-03	33
P25682	P29180	0.307	65	20	41	2	1	62	1	64	0.984	0.985	1.159E-03	33
P25682	A0A7J6D9X3	0.311	61	19	36	2	1	61	21	75	0.968	0.724	1.159E-03	33
P25682	A0A3N0XCQ7	0.295	61	18	37	2	1	61	21	75	0.968	0.724	1.159E-03	33
P25682	A0A8S4BWS2	0.318	66	21	32	5	1	61	21	78	0.968	0.744	1.159E-03	33
P25682	Q9YGI4	0.338	65	22	39	3	1	62	22	85	0.984	0.744	1.159E-03	33
P25682	A7X3L3	0.312	64	20	39	3	1	62	25	85	0.984	0.685	1.159E-03	33
P25682	A0AAX6NVJ9	0.294	68	20	42	3	1	62	20	87	0.984	0.618	1.159E-03	33
P25682	A0A8C7ERX0	0.310	74	23	38	4	1	62	12	84	0.984	0.635	1.159E-03	33
P25682	A0A643BR98	0.328	73	24	38	3	1	62	13	85	0.984	0.629	1.159E-03	33
P25682	A0AAD5FA98	0.287	73	21	39	3	1	62	26	96	0.984	0.597	1.159E-03	33
P25682	A0A1L8G075	0.269	78	21	39	3	1	63	21	95	1.000	0.605	1.159E-03	33
P25682	A0A9Q0Y350	0.328	76	25	37	3	1	62	21	96	0.984	0.603	1.159E-03	33
P25682	A0A6J0VA27	0.298	77	23	40	3	1	63	21	97	1.000	0.611	1.159E-03	33
P25682	A0AAV6YVW1	0.302	76	23	39	3	1	62	21	96	0.984	0.603	1.159E-03	33
P25682	A0AAW0T1I8	0.347	46	16	28	1	17	62	59	102	0.730	0.333	1.159E-03	33
P25682	A0A8U0S088	0.301	73	22	40	3	1	62	70	142	0.984	0.422	1.159E-03	33
P25682	C0HJB0	0.358	67	24	27	4	1	62	1	56	0.984	0.982	1.598E-03	33
P25682	P0DKR6	0.358	67	24	27	4	1	62	22	77	0.984	0.718	1.598E-03	33
P25682	A0A026WAX7	0.347	46	16	28	1	17	62	5	48	0.730	0.564	1.598E-03	33
P25682	A0A315VA20	0.303	66	20	33	4	1	61	21	78	0.968	0.744	1.598E-03	33
P25682	R4G7H5	0.360	50	18	24	2	16	62	34	78	0.746	0.570	1.598E-03	33
P25682	A0A1W7RBC9	0.313	67	21	37	3	1	62	22	84	0.984	0.741	1.598E-03	33
P25682	Q802B2	0.307	65	20	41	2	1	62	22	85	0.984	0.744	1.598E-03	33
P25682	A0AAW1BMA0	0.352	51	18	29	2	16	63	37	86	0.762	0.581	1.598E-03	33
P25682	A2CKF7	0.307	65	20	41	2	1	62	22	85	0.984	0.744	1.598E-03	33
P25682	A0AAQ4RYG0	0.333	63	21	36	2	1	62	19	76	0.984	0.586	1.598E-03	33
P25682	H0XNS6	0.323	68	22	40	4	1	62	21	88	0.984	0.613	1.598E-03	33
P25682	G3TYP1	0.323	68	22	40	4	1	62	21	88	0.984	0.613	1.598E-03	33
P25682	A0AA35P7X1	0.309	71	22	40	4	1	62	22	92	0.984	0.623	1.598E-03	33
P25682	A0A6I9XAK4	0.294	68	20	42	3	1	62	25	92	0.984	0.557	1.598E-03	33
P25682	A0A6P3F532	0.283	74	21	42	3	1	63	20	93	1.000	0.607	1.598E-03	33
P25682	A0A6J1TY36	0.285	70	20	40	3	1	62	25	92	0.984	0.557	1.598E-03	33
P25682	A0A8C6X8U1	0.308	68	21	41	4	1	62	25	92	0.984	0.557	1.598E-03	33
P25682	A0A8T2IM49	0.289	76	22	38	5	1	63	21	93	1.000	0.593	1.598E-03	33
P25682	A0A673VQ39	0.310	74	23	40	4	1	63	21	94	1.000	0.597	1.598E-03	33
P25682	A0A452RVP3	0.500	28	14	10	1	1	24	23	50	0.381	0.220	1.598E-03	33
P25682	G3RKS8	0.315	76	24	35	5	1	62	21	93	0.984	0.570	1.598E-03	33
P25682	A0AAD8CX44	0.301	73	22	38	2	1	62	34	104	0.984	0.546	1.598E-03	33
P25682	P01400	0.307	65	20	41	2	1	62	1	64	0.984	0.985	2.204E-03	33
P25682	A0A0L7QQU5	0.333	51	17	31	2	12	62	2	49	0.810	0.640	2.204E-03	33
P25682	A0A9Y3QL19	0.318	66	21	32	4	1	61	21	78	0.968	0.744	2.204E-03	33
P25682	A0A3S2PEC3	0.281	64	18	37	3	1	61	21	78	0.968	0.744	2.204E-03	33
P25682	E2ITZ6	0.307	65	20	41	2	1	62	22	85	0.984	0.744	2.204E-03	33
P25682	A0AAW1BLE1	0.307	65	20	40	3	1	62	22	84	0.984	0.733	2.204E-03	33
P25682	Q802B3	0.323	65	21	40	2	1	62	22	85	0.984	0.744	2.204E-03	33
P25682	O42255	0.323	65	21	40	2	1	62	22	85	0.984	0.744	2.204E-03	33
P25682	A0AAW1BMB9	0.346	52	18	28	3	16	63	37	86	0.762	0.581	2.204E-03	33
P25682	O42256	0.323	65	21	40	2	1	62	22	85	0.984	0.744	2.204E-03	33
P25682	D5J9P8	0.339	53	18	25	2	17	63	40	88	0.746	0.557	2.204E-03	33
P25682	A0A8C6MS80	0.322	62	20	26	2	17	62	36	97	0.730	0.626	2.204E-03	33
P25682	A0A803SU01	0.264	68	18	44	1	1	62	25	92	0.984	0.680	2.204E-03	33
P25682	A0A098LWU4	0.268	67	18	39	3	1	61	22	84	0.968	0.606	2.204E-03	33
P25682	A0A5F4VQR2	0.307	65	20	42	3	1	62	20	84	0.984	0.607	2.204E-03	33
P25682	A0A8C6C6F0	0.342	73	25	37	4	1	62	12	84	0.984	0.635	2.204E-03	33
P25682	A0A8C9CFR5	0.342	73	25	37	4	1	62	12	84	0.984	0.635	2.204E-03	33
P25682	A0A3M7PKT0	0.365	52	19	28	3	1	48	23	73	0.762	0.436	2.204E-03	33
P25682	U3K4R5	0.297	74	22	40	5	1	63	21	93	1.000	0.603	2.204E-03	33
P25682	A0A813XQD6	0.309	71	22	40	4	1	62	25	95	0.984	0.582	2.204E-03	33
P25682	A0A8C8ALE9	0.303	79	24	33	5	1	63	21	93	1.000	0.598	2.204E-03	33
P25682	A0A3M7QKJ5	0.343	64	22	36	4	1	62	21	80	0.984	0.492	2.204E-03	33
P25682	K7FHG9	0.342	73	25	36	4	1	63	27	97	1.000	0.582	2.204E-03	33
P25682	A0A670YF31	0.285	70	20	40	3	1	62	25	92	0.984	0.557	2.204E-03	33
P25682	A0A341B5X7	0.342	73	25	37	4	1	62	21	93	0.984	0.589	2.204E-03	33
P25682	A0A8C4MTX1	0.283	74	21	40	4	1	62	21	93	0.984	0.589	2.204E-03	33
P25682	A0A383YVN5	0.342	73	25	37	4	1	62	21	93	0.984	0.589	2.204E-03	33
