identifier,is_transmembrane,is_helix,is_beta,has_signal,pfam,primary_interpro_id,primary_interpro_short_name,phylum,order
P01379,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01382,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01404,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01442,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01443,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01448,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01452,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01467,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01469,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P07525,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0C8F1,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Primates
P0DP62,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
P18329,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P35459,False,False,False,True,PF00021;,IPR042339,Ly6D,Chordata,Rodentia
P58019,False,False,False,True,,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
P59276,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60301,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60303,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60304,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P60616,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P62375,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P80245,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P81783,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P82662,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P86419,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q17RY6,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
Q45Z11,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q66H42,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia
Q69CK0,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q7LZI1,False,False,False,False,PF02988;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata
Q7T2I5,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q7T3J2,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q80ZQ0,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
Q8BPP5,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Rodentia
Q8JFX7,False,False,False,True,,IPR003571,Snake_3FTx,Chordata,Squamata
Q8K1T5,False,False,False,True,,IPR026110,LY6G5C,Chordata,Rodentia
Q8NI32,False,False,False,True,PF16975;,IPR039457,LYPD6-like,Chordata,Primates
Q90VW1,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q99445,False,False,False,True,,IPR016054,LY6_UPA_recep-like,Chordata,Primates
Q9YGJ0,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
Q9Z1Q4,False,False,False,True,,IPR039237,LY6G6C,Chordata,Rodentia
A0A0B4LEU0,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A0J9RAG9,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A0P8XM01,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A0Q9W5E8,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A158NPD2,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Hymenoptera
A0A1J1HT36,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A1J1HXH0,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A1S3K8Y4,False,False,False,True,PF17064;,IPR031424,QVR-like,Brachiopoda,Lingulida
A0A1S3K9N0,False,False,False,True,PF17064;,IPR031424,QVR-like,Brachiopoda,Lingulida
A0A286XKB7,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
A0A286XLH9,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
A0A287B109,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla
A0A2S2R6I4,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Hemiptera
A0A346CIB0,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
A0A346CIB2,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
A0A4P1LYC9,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
A0A4W2C5H3,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla
A0A6I8VQH9,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A6J2SR37,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A6J2T0E8,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0A7T7DMY7,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
A0A8B7HN27,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
A0A8B8AE93,False,False,False,True,PF17064;,IPR031424,QVR-like,Mollusca,Ostreida
A0A9B7HXA1,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Hymenoptera
A0A9C6DT89,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera
A0JNB3,False,False,False,True,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Artiodactyla
A2CKF6,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
A2CKF7,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
A6HRY3,False,False,False,True,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
A6HS11,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia
A8HDJ4,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
A8N286,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
A8WG63,False,False,False,True,PF01064;,IPR045860,Snake_toxin-like_sf,Chordata,Cypriniformes
B2BRQ5,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
B3EWH9,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C0HJB0,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
C0HJR1,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C0HJR2,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C0HJT4,False,False,False,False,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
C0HJT5,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C0HK04,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
C0HKZ8,False,False,False,False,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
C0HLK5,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
C0HM08,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C0HM09,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C1IC48,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
C4WVU5,False,False,False,True,PF17064;,IPR031424,QVR-like,Arthropoda,Hemiptera
C6JUP3,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
D4A6F2,False,False,False,False,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
E7F2M5,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Cypriniformes
F5CPD3,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
F5CPD5,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
F5CPD6,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
F5CPD8,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
F5CPD9,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
F5CPE0,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
F5CPE2,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
F5CPE3,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
F5CPE4,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
I6PG79,False,False,False,False,PF02988;PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata
I6R1R5,False,False,False,True,PF16975;,IPR045860,Snake_toxin-like_sf,Arthropoda,Scolopendromorpha
O42257,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
O73856,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
O73857,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
O93471,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
O93472,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
O93473,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01380,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01381,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01383,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01384,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01385,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01386,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01387,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01388,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01389,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01390,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01393,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01394,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01395,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01396,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01409,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01412,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01414,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P01416,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01417,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01418,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01419,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01420,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01421,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01422,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01423,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01425,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01426,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01427,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01431,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01432,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01433,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01434,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01437,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01440,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01441,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01447,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01451,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01453,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01454,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01455,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01456,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01457,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01458,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01459,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01460,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01461,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01462,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01463,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01464,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01465,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01466,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01468,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01470,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01473,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P01474,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0C1Y9,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0C552,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0C553,False,False,False,True,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0C554,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0CAR1,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0CB06,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0CG02,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0CH80,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0DKS3,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0DKW9,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0DL82,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0DP59,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia
P0DP61,False,False,False,True,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates
P0DPU8,False,False,False,True,,IPR045860,Snake_toxin-like_sf,Arthropoda,Scolopendromorpha
P0DQH2,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0DQQ1,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0DQQ2,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0DQQ3,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P0DSN0,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P0DUK5,False,False,False,False,PF02988;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata
P0DUK6,False,False,False,False,PF02988;PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata
P0DUK7,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P10456,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P10457,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P10458,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P10459,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P10460,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P13495,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P14541,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P14612,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P15815,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P15816,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P15817,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P15818,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P18328,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P19958,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P19959,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P22947,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P24776,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P24777,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P24778,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P24779,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P24780,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25497,False,False,False,True,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25517,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25518,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25667,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25668,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25670,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25671,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25672,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25674,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25675,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P25683,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P25684,False,False,False,False,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata
P32879,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P34074,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P34075,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
P34076,False,False,False,False,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata
