identifier,is_transmembrane,is_helix,is_beta,has_signal,organism_id,pfam,primary_interpro_id,primary_interpro_short_name,phylum,order,family,genus,species
P60305,False,False,False,False,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P60615,False,False,False,True,8616,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus
P60770,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P60775,False,False,False,True,8631,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata
P80958,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P82935,False,False,False,True,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P83302,False,False,False,False,8665,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
P85092,False,False,False,False,8618,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
Q06ZW0,False,False,False,True,46286,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Boiga,Boiga dendrophila
Q09098,False,False,False,True,10090,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q14210,False,False,False,True,9606,PF00021;,IPR042339,Ly6D,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q16553,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q53B58,False,False,False,True,8665,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
Q5SRR4,False,False,False,True,9606,,IPR026110,LY6G5C,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q64253,False,False,False,True,10090,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q66IA6,False,False,False,True,7955,PF16975;,IPR039457,LYPD6-like,Chordata,Cypriniformes,Danionidae,Danio,Danio rerio
Q86Y78,False,False,False,True,9606,PF16975;,IPR039457,LYPD6-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q8BLC3,False,False,False,True,10090,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q8IV16,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q8K1T6,False,False,False,True,10090,PF01064;,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q8N2G4,False,False,False,True,9606,,IPR045860,Snake_toxin-like_sf,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q8QGR0,False,False,False,True,8618,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
Q8TDM5,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q9CWP4,False,False,False,True,10090,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q9VII1,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
Q9VKA0,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
Q9VPR7,False,False,False,True,7227,,IPR045860,Snake_toxin-like_sf,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
Q9VTM6,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
Q9VZ21,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
Q9W3T7,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
Q9WUC3,False,False,False,True,10090,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q9Z0K7,False,False,False,True,10090,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q9Z1Q3,False,False,False,True,10090,,IPR026524,LY6G6d/LY6G6f,Chordata,Rodentia,Muridae,Mus,Mus musculus
U3FAE1,False,False,False,True,8637,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus fulvius
A0A346CIA0,False,False,False,True,1899469,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Spilotes,Spilotes sulphureus
A0A346CIB3,False,False,False,True,1899469,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Spilotes,Spilotes sulphureus
B3MFC2,False,False,False,True,7217,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila ananassae
B3NSF6,False,False,False,True,7220,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila erecta
B4GAN3,False,False,False,True,7234,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila persimilis
B4HNI3,False,False,False,True,7238,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila sechellia
B4J8Z9,False,False,False,True,7222,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila grimshawi
B4KR21,False,False,False,True,7230,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila mojavensis
B4LQ44,False,False,False,True,7244,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila virilis
B4MQJ1,False,False,False,True,7260,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila willistoni
B4P641,False,False,False,True,7245,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila yakuba
B4QBL6,False,False,False,True,7240,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila simulans
B5E022,False,False,False,True,46245,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura
C0HJD7,False,False,False,False,8620,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis
C1IC47,False,False,False,True,64182,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Walterinnesia,Walterinnesia aegyptia
C1IC49,False,False,False,True,64182,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Walterinnesia,Walterinnesia aegyptia
E2ITZ3,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
H2LID1,False,False,False,True,8090,,IPR045860,Snake_toxin-like_sf,Chordata,Beloniformes,Adrianichthyidae,Oryzias,Oryzias latipes
K9MCH1,False,False,False,True,1240351,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus laticollaris
O62680,False,False,False,True,9823,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla,Suidae,Sus,Sus scrofa
O77541,False,False,False,True,9986,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
O94772,False,False,False,True,9606,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Primates,Hominidae,Homo,Homo sapiens
P01379,False,False,False,True,8631,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata
P01382,False,False,False,False,8657,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja oxiana
P01404,False,False,False,True,8618,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
P01442,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P01443,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P01448,False,False,False,False,8643,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja melanoleuca
P01452,False,False,False,False,8644,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja mossambica
P01467,False,False,False,False,8644,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja mossambica
P01469,False,False,False,False,8644,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja mossambica
P07525,False,False,False,False,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P0C8F1,False,False,False,True,9606,,IPR045860,Snake_toxin-like_sf,Chordata,Primates,Hominidae,Homo,Homo sapiens
P0DP62,False,False,False,True,9544,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Cercopithecidae,Macaca,Macaca mulatta
P18329,False,False,False,True,8618,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
P35459,False,False,False,True,10090,PF00021;,IPR042339,Ly6D,Chordata,Rodentia,Muridae,Mus,Mus musculus
P58019,False,False,False,True,10090,,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
P59276,False,False,False,False,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P60301,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P60303,False,False,False,True,8649,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
P60304,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P60616,False,False,False,True,8616,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus
P62375,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P80245,False,False,False,True,8656,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja atra
P81783,False,False,False,True,92438,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus candidus
P82662,False,False,False,True,8665,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
P86419,False,False,False,False,8618,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
Q17RY6,False,False,False,True,9606,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q45Z11,False,False,False,True,8667,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Oxyuranus,Oxyuranus scutellatus
Q66H42,False,False,False,True,10116,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
Q69CK0,False,False,False,True,8665,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
Q7LZI1,False,False,False,False,8649,PF02988;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata,Elapidae,Naja,Naja kaouthia
Q7T2I5,False,False,False,True,8631,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata
Q7T3J2,False,False,False,True,92438,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus candidus
Q80ZQ0,False,False,False,True,10090,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q8BPP5,False,False,False,True,10090,PF16975;,IPR039457,LYPD6-like,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q8JFX7,False,False,False,True,8616,,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus
Q8K1T5,False,False,False,True,10090,,IPR026110,LY6G5C,Chordata,Rodentia,Muridae,Mus,Mus musculus
Q8NI32,False,False,False,True,9606,PF16975;,IPR039457,LYPD6-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q90VW1,False,False,False,True,8631,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Laticauda,Laticauda semifasciata
Q99445,False,False,False,True,9606,,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Hominidae,Homo,Homo sapiens
Q9YGJ0,False,False,False,True,8616,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus multicinctus
Q9Z1Q4,False,False,False,True,10090,,IPR039237,LY6G6C,Chordata,Rodentia,Muridae,Mus,Mus musculus
A0A0B4LEU0,False,False,False,True,7227,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster
A0A0J9RAG9,False,False,False,True,7240,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila simulans
A0A0P8XM01,False,False,False,True,7217,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila ananassae
A0A0Q9W5E8,False,False,False,True,7244,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila virilis
A0A158NPD2,False,False,False,True,12957,PF17064;,IPR031424,QVR-like,Arthropoda,Hymenoptera,Formicidae,Atta,Atta cephalotes
A0A1J1HT36,False,False,False,True,568069,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Chironomidae,Clunio,Clunio marinus
A0A1J1HXH0,False,False,False,True,568069,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Chironomidae,Clunio,Clunio marinus
A0A1S3K8Y4,False,False,False,True,7574,PF17064;,IPR031424,QVR-like,Brachiopoda,Lingulida,Lingulidae,Lingula,Lingula anatina
A0A1S3K9N0,False,False,False,True,7574,PF17064;,IPR031424,QVR-like,Brachiopoda,Lingulida,Lingulidae,Lingula,Lingula anatina
A0A286XKB7,False,False,False,True,10141,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Caviidae,Cavia,Cavia porcellus
A0A286XLH9,False,False,False,True,10141,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Caviidae,Cavia,Cavia porcellus
A0A287B109,False,False,False,True,9823,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla,Suidae,Sus,Sus scrofa
A0A2S2R6I4,False,False,False,True,143950,PF17064;,IPR031424,QVR-like,Arthropoda,Hemiptera,Aphididae,Sipha,Sipha flava
A0A346CIB0,False,False,False,True,1899469,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Spilotes,Spilotes sulphureus
A0A346CIB2,False,False,False,True,1899469,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Colubridae,Spilotes,Spilotes sulphureus
A0A4P1LYC9,False,False,False,False,8620,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis polylepis
A0A4W2C5H3,False,False,False,True,30522,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Artiodactyla,Bovidae,Bos,Bos indicus x Bos taurus
A0A6I8VQH9,False,False,False,True,46245,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura
A0A6J2SR37,False,False,False,True,7224,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila hydei
A0A6J2T0E8,False,False,False,True,7224,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Drosophilidae,Drosophila,Drosophila hydei
A0A7T7DMY7,False,False,False,True,1108807,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sumatrana
A0A8B7HN27,False,False,False,True,30608,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Primates,Cheirogaleidae,Microcebus,Microcebus murinus
A0A8B8AE93,False,False,False,True,6565,PF17064;,IPR031424,QVR-like,Mollusca,Ostreida,Ostreidae,Crassostrea,Crassostrea virginica
A0A9B7HXA1,False,False,False,True,30195,PF17064;,IPR031424,QVR-like,Arthropoda,Hymenoptera,Apidae,Bombus,Bombus terrestris
A0A9C6DT89,False,False,False,True,201502,PF17064;,IPR031424,QVR-like,Arthropoda,Diptera,Glossinidae,Glossina,Glossina fuscipes
A0JNB3,False,False,False,True,9913,PF00021;,IPR051445,LY6H/LY6L_nAChR_modulators,Chordata,Artiodactyla,Bovidae,Bos,Bos taurus
A2CKF6,False,False,False,True,8613,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus fasciatus
A2CKF7,False,False,False,True,8613,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Bungarus,Bungarus fasciatus
A6HRY3,False,False,False,True,10116,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
A6HS11,False,False,False,True,10116,,IPR045860,Snake_toxin-like_sf,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
A8HDJ4,False,False,False,True,8671,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Pseudechis,Pseudechis porphyriacus
A8N286,False,False,False,True,8665,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
A8WG63,False,False,False,True,7955,PF01064;,IPR045860,Snake_toxin-like_sf,Chordata,Cypriniformes,Danionidae,Danio,Danio rerio
B2BRQ5,False,False,False,True,471292,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Austrelaps,Austrelaps labialis
B3EWH9,False,False,False,False,8626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Hemachatus,Hemachatus haemachatus
C0HJB0,False,False,False,False,8618,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
C0HJR1,False,False,False,False,430902,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus mipartitus
C0HJR2,False,False,False,False,430902,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus mipartitus
C0HJT4,False,False,False,False,8618,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Dendroaspis,Dendroaspis angusticeps
C0HJT5,False,False,False,False,8626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Hemachatus,Hemachatus haemachatus
C0HK04,False,False,False,False,1817999,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus clarki
C0HKZ8,False,False,False,False,64182,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Walterinnesia,Walterinnesia aegyptia
C0HLK5,False,False,False,False,1337871,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus dumerilii
C0HM08,False,False,False,False,35670,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja naja
C0HM09,False,False,False,False,35670,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja naja
C1IC48,False,False,False,True,64182,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Walterinnesia,Walterinnesia aegyptia
C4WVU5,False,False,False,True,7029,PF17064;,IPR031424,QVR-like,Arthropoda,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum
C6JUP3,False,False,False,True,54390,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus corallinus
D4A6F2,False,False,False,False,10116,PF00087;,IPR016054,LY6_UPA_recep-like,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
E7F2M5,False,False,False,True,7955,PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Cypriniformes,Danionidae,Danio,Danio rerio
F5CPD3,False,False,False,True,129457,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPD5,False,False,False,True,129457,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPD6,False,False,False,True,129457,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPD8,False,False,False,True,129457,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPD9,False,False,False,True,129457,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPE0,False,False,False,True,129457,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPE2,False,False,False,True,129457,,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPE3,False,False,False,True,129457,PF21947;,IPR045860,Snake_toxin-like_sf,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
F5CPE4,False,False,False,True,129457,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Micrurus,Micrurus altirostris
I6PG79,False,False,False,False,2678873,PF02988;PF00021;,IPR016054,LY6_UPA_recep-like,Chordata,Squamata,Colubridae,Trimerodytes,Trimerodytes annularis
I6R1R5,False,False,False,True,2836329,PF16975;,IPR045860,Snake_toxin-like_sf,Arthropoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra mutilans
O42257,False,False,False,True,33626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sputatrix
O73856,False,False,False,True,33626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sputatrix
O73857,False,False,False,True,33626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sputatrix
O93471,False,False,False,True,33626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sputatrix
O93472,False,False,False,True,33626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sputatrix
O93473,False,False,False,True,33626,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja sputatrix
P01380,False,False,False,False,355677,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Hydrophiidae,Hydrophis,Hydrophis stokesii
P01381,False,False,False,False,355677,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Hydrophiidae,Hydrophis,Hydrophis stokesii
P01383,False,False,False,False,8643,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Naja,Naja melanoleuca
P01384,False,False,False,True,70142,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Notechis,Notechis scutatus
P01385,False,False,False,False,8605,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus
P01386,False,False,False,False,8665,PF21947;,IPR003571,Snake_3FTx,Chordata,Squamata,Elapidae,Ophiophagus,Ophiophagus hannah
