protein_id,protein_name,tax_id,scientific_name,sequence_length,domain_start,domain_end,signature_name,interpro_domain_name
A0A016W9E7,Snake toxin/toxin-like domain-containing protein,53326,Ancylostoma ceylanicum,218,118,182,InterPro:IPR045860,Snake toxin/toxin-like domain-containing protein
A0A016W9N8,ET module,53326,Ancylostoma ceylanicum,131,35,112,InterPro:IPR045860,ET module
A0A016W9Q7,ET module,53326,Ancylostoma ceylanicum,112,16,94,InterPro:IPR045860,ET module
A0A016WPH0,Uncharacterized protein,53326,Ancylostoma ceylanicum,113,19,93,InterPro:IPR045860,Uncharacterized protein
A0A016WQJ9,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,144,22,125,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016WQZ7,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,137,35,118,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016WR52,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,125,23,107,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016WS27,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,172,23,125,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016WST8,Activin types I and II receptor domain-containing protein,53326,Ancylostoma ceylanicum,225,76,178,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A016WU80,Uncharacterized protein,53326,Ancylostoma ceylanicum,142,44,112,InterPro:IPR045860,Uncharacterized protein
A0A023EGA3,Putative retrotransposon-like 1,7160,Aedes albopictus,142,22,121,InterPro:IPR045860,Putative retrotransposon-like 1
A0A023EGD7,Putative secreted protein,7160,Aedes albopictus,142,22,121,InterPro:IPR045860,Putative secreted protein
A0A023EGQ7,Putative secreted protein,7160,Aedes albopictus,148,23,117,InterPro:IPR045860,Putative secreted protein
A0A023EH46,UPAR/Ly6 domain-containing protein,7160,Aedes albopictus,154,6,95,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A023ET35,Serine/threonine-protein kinase receptor,7160,Aedes albopictus,488,4,101,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A023ETA7,receptor protein serine/threonine kinase,7160,Aedes albopictus,506,11,120,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A023EU41,receptor protein serine/threonine kinase,7160,Aedes albopictus,575,64,172,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A023F354,receptor protein serine/threonine kinase,30076,Triatoma infestans,504,10,109,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A023F3N5,Serine/threonine-protein kinase receptor,30076,Triatoma infestans,488,1,102,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A023FIR5,receptor protein serine/threonine kinase,34607,Amblyomma cajennense,393,43,141,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A023FSX4,Putative tpa exp: secreted protein,34607,Amblyomma cajennense,144,28,123,InterPro:IPR045860,Putative tpa exp: secreted protein
A0A023FT47,Putative tpa exp: secreted protein,34607,Amblyomma cajennense,145,29,124,InterPro:IPR045860,Putative tpa exp: secreted protein
A0A023G0Q8,Putative secreted protein,251391,Amblyomma parvum,144,28,123,InterPro:IPR045860,Putative secreted protein
A0A023G6N9,Putative secreted protein,251400,Amblyomma triste,142,17,111,InterPro:IPR045860,Putative secreted protein
A0A023G7S0,Putative kunitz-like protein,251400,Amblyomma triste,158,21,73,InterPro:IPR045860,Putative kunitz-like protein
A0A023GC97,Putative tpa exp: secreted protein,251400,Amblyomma triste,144,28,123,InterPro:IPR045860,Putative tpa exp: secreted protein
A0A024AX16,Short neurotoxin,66188,Micropechis ikaheca,83,22,83,InterPro:IPR045860,Short neurotoxin
A0A024AXD4,Short neurotoxin,66188,Micropechis ikaheca,83,22,83,InterPro:IPR045860,Short neurotoxin
A0A024AXD8,Long neurotoxin,66188,Micropechis ikaheca,104,13,93,InterPro:IPR045860,Long neurotoxin
A0A024AXH2,Long neurotoxin,66188,Micropechis ikaheca,104,13,93,InterPro:IPR045860,Long neurotoxin
A0A024AXY1,Long neurotoxin,66188,Micropechis ikaheca,103,13,94,InterPro:IPR045860,Long neurotoxin
A0A024AYC2,Short neurotoxin,66188,Micropechis ikaheca,83,22,83,InterPro:IPR045860,Short neurotoxin
A0A026VTG0,Uncharacterized protein,2015173,Ooceraea biroi,150,22,119,InterPro:IPR045860,Uncharacterized protein
A0A026W1P1,receptor protein serine/threonine kinase,2015173,Ooceraea biroi,584,56,164,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A026W3X9,receptor protein serine/threonine kinase,2015173,Ooceraea biroi,516,31,131,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A026W484,Serine/threonine-protein kinase receptor,2015173,Ooceraea biroi,958,38,136,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A026W9I0,Cationic amino acid transporter C-terminal domain-containing protein,2015173,Ooceraea biroi,718,20,115,InterPro:IPR045860,Cationic amino acid transporter C-terminal domain-containing protein
A0A026WAX7,UPAR/Ly6 domain-containing protein,2015173,Ooceraea biroi,78,1,51,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A026WKC9,BMP and activin membrane-bound inhibitor-like protein,2015173,Ooceraea biroi,558,142,252,InterPro:IPR045860,BMP and activin membrane-bound inhibitor-like protein
A0A026WMK1,UPAR/Ly6 domain-containing protein,2015173,Ooceraea biroi,130,21,105,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A026WSB3,Serine/threonine-protein kinase receptor,2015173,Ooceraea biroi,488,1,90,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A026WWB0,Protein quiver,2015173,Ooceraea biroi,166,38,135,InterPro:IPR045860,Protein quiver
A0A026WXJ4,Activin types I and II receptor domain-containing protein,2015173,Ooceraea biroi,74,1,62,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A026WXM5,Activin types I and II receptor domain-containing protein,2015173,Ooceraea biroi,92,4,58,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A026X3L7,Uncharacterized protein,2015173,Ooceraea biroi,138,1,56,InterPro:IPR045860,Uncharacterized protein
A0A034VB44,receptor protein serine/threonine kinase,27457,Bactrocera dorsalis,497,11,116,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A034VD90,receptor protein serine/threonine kinase,27457,Bactrocera dorsalis,538,52,157,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A034VX52,Serine/threonine-protein kinase receptor,27457,Bactrocera dorsalis,532,39,142,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A034VZQ8,Uncharacterized protein LOC105232838,27457,Bactrocera dorsalis,168,44,125,InterPro:IPR045860,Uncharacterized protein LOC105232838
A0A034W5E4,receptor protein serine/threonine kinase,27457,Bactrocera dorsalis,386,53,149,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A034WDG5,Uncharacterized protein LOC105223094,27457,Bactrocera dorsalis,157,29,127,InterPro:IPR045860,Uncharacterized protein LOC105223094
A0A034WE14,UPAR/Ly6 domain-containing protein,27457,Bactrocera dorsalis,152,23,120,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A034WID6,Protein sleepless,27457,Bactrocera dorsalis,181,42,139,InterPro:IPR045860,Protein sleepless
A0A034WMN3,receptor protein serine/threonine kinase,27457,Bactrocera dorsalis,497,25,99,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A034WQS1,Uncharacterized protein LOC105223093,27457,Bactrocera dorsalis,151,19,120,InterPro:IPR045860,Uncharacterized protein LOC105223093
A0A034WS22,Snake toxin/toxin-like domain-containing protein,27457,Bactrocera dorsalis,168,77,137,InterPro:IPR045860,Snake toxin/toxin-like domain-containing protein
A0A034WVZ2,receptor protein serine/threonine kinase,27457,Bactrocera dorsalis,574,70,173,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060CQ75,Serine/threonine-protein kinase receptor,66713,Pinctada imbricata,522,22,106,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060VR30,Activin receptor type-1C,8022,Oncorhynchus mykiss,496,23,99,InterPro:IPR045860,Activin receptor type-1C
A0A060VU17,Activin types I and II receptor domain-containing protein,8022,Oncorhynchus mykiss,202,20,124,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A060VWB6,Activin receptor type-1,8022,Oncorhynchus mykiss,203,108,192,InterPro:IPR045860,Activin receptor type-1
A0A060VWB6,Activin receptor type-1,8022,Oncorhynchus mykiss,203,18,104,InterPro:IPR045860,Activin receptor type-1
A0A060VXI2,TGF-beta receptor type-2,8022,Oncorhynchus mykiss,571,26,139,InterPro:IPR045860,TGF-beta receptor type-2
A0A060VXW0,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,127,19,107,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060VYF4,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,530,55,149,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060VZI6,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,300,93,184,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060VZI6,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,300,190,268,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060VZK8,Ly6/PLAUR domain-containing protein 6,8022,Oncorhynchus mykiss,173,44,130,InterPro:IPR045860,Ly6/PLAUR domain-containing protein 6
A0A060W0E9,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,125,19,105,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060W1J6,Ly6/PLAUR domain-containing protein 6B,8022,Oncorhynchus mykiss,182,45,131,InterPro:IPR045860,Ly6/PLAUR domain-containing protein 6B
A0A060W1Q1,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,118,21,99,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060W3R1,MAC-inhibitory protein,8022,Oncorhynchus mykiss,118,21,100,InterPro:IPR045860,MAC-inhibitory protein
A0A060W6L9,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,272,111,183,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060W9B4,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,532,57,150,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060WBR6,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,595,22,138,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060WE72,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,597,22,138,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060WE82,BMP and activin membrane-bound inhibitor homolog,8022,Oncorhynchus mykiss,257,25,122,InterPro:IPR045860,BMP and activin membrane-bound inhibitor homolog
A0A060WHB6,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,504,21,99,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060WIW4,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,510,19,117,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060WNJ0,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,119,16,100,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060WNK5,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,548,25,139,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060WPJ6,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,119,8,95,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060WS29,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,497,24,100,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060WUH0,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,228,130,207,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060WUH0,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,228,39,126,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060WWH6,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,72,4,47,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060WWR4,BMP and activin membrane-bound inhibitor homolog,8022,Oncorhynchus mykiss,257,25,122,InterPro:IPR045860,BMP and activin membrane-bound inhibitor homolog
A0A060X4A6,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,139,20,108,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060X609,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,207,16,105,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060X609,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,207,110,186,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060X649,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,507,24,102,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060XC14,Activin types I and II receptor domain-containing protein,8022,Oncorhynchus mykiss,137,63,135,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A060XFG1,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,530,50,130,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060XFN3,Uncharacterized protein,8022,Oncorhynchus mykiss,88,18,88,InterPro:IPR045860,Uncharacterized protein
A0A060XGJ4,Activin receptor type-1C,8022,Oncorhynchus mykiss,589,108,184,InterPro:IPR045860,Activin receptor type-1C
A0A060XH26,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,209,111,192,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060XH26,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,209,18,108,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060XI52,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,187,94,167,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060XKZ8,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,497,29,125,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060XL06,Ly6/PLAUR domain-containing protein 6B,8022,Oncorhynchus mykiss,176,39,127,InterPro:IPR045860,Ly6/PLAUR domain-containing protein 6B
A0A060XLW9,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,264,23,99,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060XUK5,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,88,18,88,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060XUZ0,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,127,22,78,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060Y1D8,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,150,43,129,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060Y258,Activin receptor type-1C,8022,Oncorhynchus mykiss,484,11,87,InterPro:IPR045860,Activin receptor type-1C
A0A060Y2D3,CD59 glycoprotein-like,8022,Oncorhynchus mykiss,88,7,88,InterPro:IPR045860,CD59 glycoprotein-like
A0A060Y2T9,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,128,19,100,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060Y659,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,502,14,97,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060Y7N7,Nck-associated protein 5 C-terminal domain-containing protein,8022,Oncorhynchus mykiss,1758,1605,1689,InterPro:IPR045860,Nck-associated protein 5 C-terminal domain-containing protein
A0A060YAJ4,Activin receptor type-2B,8022,Oncorhynchus mykiss,212,19,118,InterPro:IPR045860,Activin receptor type-2B
A0A060YB07,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,125,18,104,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060YCK4,Serine/threonine-protein kinase receptor,8022,Oncorhynchus mykiss,579,104,180,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A060YF83,Activin types I and II receptor domain-containing protein,8022,Oncorhynchus mykiss,133,16,115,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A060YHN4,Activin receptor type-1,8022,Oncorhynchus mykiss,678,107,191,InterPro:IPR045860,Activin receptor type-1
A0A060YHN4,Activin receptor type-1,8022,Oncorhynchus mykiss,678,18,103,InterPro:IPR045860,Activin receptor type-1
A0A060YHN4,Activin receptor type-1,8022,Oncorhynchus mykiss,678,192,279,InterPro:IPR045860,Activin receptor type-1
A0A060YK15,Activin types I and II receptor domain-containing protein,8022,Oncorhynchus mykiss,187,24,128,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A060YMT4,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,133,18,103,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060YPT9,receptor protein serine/threonine kinase,8022,Oncorhynchus mykiss,491,15,96,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A060YQM3,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,131,26,110,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060YRI5,UPAR/Ly6 domain-containing protein,8022,Oncorhynchus mykiss,153,10,84,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A060ZA58,Snake toxin/toxin-like domain-containing protein,8022,Oncorhynchus mykiss,116,16,90,InterPro:IPR045860,Snake toxin/toxin-like domain-containing protein
A0A060ZFP8,TGF-beta receptor type-2,8022,Oncorhynchus mykiss,139,16,128,InterPro:IPR045860,TGF-beta receptor type-2
A0A061A7G3,Activin types I and II receptor domain-containing protein,8022,Oncorhynchus mykiss,95,27,79,InterPro:IPR045860,Activin types I and II receptor domain-containing protein
A0A061HTZ0,Phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,10029,Cricetulus griseus,89,2,49,InterPro:IPR045860,Phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
A0A061HU62,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,255,144,208,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061HUJ3,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,203,1,77,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061HUJ3,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,203,86,172,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061HV01,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,186,1,77,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061HV01,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,186,86,137,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061HW29,G-protein coupled receptors family 1 profile domain-containing protein,10029,Cricetulus griseus,538,480,532,InterPro:IPR045860,G-protein coupled receptors family 1 profile domain-containing protein
A0A061HX69,G-protein coupled receptors family 1 profile domain-containing protein,10029,Cricetulus griseus,535,480,531,InterPro:IPR045860,G-protein coupled receptors family 1 profile domain-containing protein
A0A061HZK1,G-protein coupled receptors family 1 profile domain-containing protein,10029,Cricetulus griseus,551,480,534,InterPro:IPR045860,G-protein coupled receptors family 1 profile domain-containing protein
A0A061I168,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,96,19,95,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061I5Z7,Serine/threonine-protein kinase receptor,10029,Cricetulus griseus,550,63,180,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A061I7N0,Serine/threonine-protein kinase receptor,10029,Cricetulus griseus,559,66,165,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A061I843,Serine/threonine-protein kinase receptor,10029,Cricetulus griseus,542,63,180,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A061I9V2,Serine/threonine-protein kinase receptor,10029,Cricetulus griseus,517,24,123,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A061IDA7,Lymphocyte antigen 6H,10029,Cricetulus griseus,134,18,107,InterPro:IPR045860,Lymphocyte antigen 6H
A0A061IEB5,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,184,29,113,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061IGR0,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,139,28,118,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061IHV1,C2H2-type domain-containing protein,10029,Cricetulus griseus,400,63,141,InterPro:IPR045860,C2H2-type domain-containing protein
A0A061IIT9,UPAR/Ly6 domain-containing protein,10029,Cricetulus griseus,196,71,167,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A061IJZ1,C2H2-type domain-containing protein,10029,Cricetulus griseus,435,98,176,InterPro:IPR045860,C2H2-type domain-containing protein
A0A061IN68,"TGF-beta receptor/activin receptor, type I/II containing protein",10029,Cricetulus griseus,331,224,308,InterPro:IPR045860,"TGF-beta receptor/activin receptor, type I/II containing protein"
A0A067R0Q2,UPAR/Ly6 domain-containing protein,136037,Zootermopsis nevadensis,106,1,99,InterPro:IPR045860,UPAR/Ly6 domain-containing protein
A0A067R5J7,receptor protein serine/threonine kinase,136037,Zootermopsis nevadensis,570,66,168,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A067R728,Secreted protein,136037,Zootermopsis nevadensis,114,11,107,InterPro:IPR045860,Secreted protein
A0A067R751,receptor protein serine/threonine kinase,136037,Zootermopsis nevadensis,1049,42,139,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A067RDT4,Uncharacterized protein,136037,Zootermopsis nevadensis,125,1,99,InterPro:IPR045860,Uncharacterized protein
A0A067RGF1,Uncharacterized protein,136037,Zootermopsis nevadensis,133,24,100,InterPro:IPR045860,Uncharacterized protein
A0A067RJL8,receptor protein serine/threonine kinase,136037,Zootermopsis nevadensis,508,30,132,InterPro:IPR045860,receptor protein serine/threonine kinase
A0A067RJQ7,Serine/threonine-protein kinase receptor,136037,Zootermopsis nevadensis,517,20,122,InterPro:IPR045860,Serine/threonine-protein kinase receptor
A0A067RK03,Protein quiver,136037,Zootermopsis nevadensis,127,23,104,InterPro:IPR045860,Protein quiver
