identifier,group,oligomeric_state,last_common_ancestor,length
A0A151M3Z5_IPR016054_1_130-221,Ly6,multimer,genus:Alligator,72-95
A0A151NRP2_IPR016054_1_107-199,mixture,multimer,genus:Alligator,72-95
A0A2D4PI90_IPR045860_1_3-66,Ly6,multimer,genus:Micrurus,50-72
A0A2J8RT95_IPR016054_1_21-110,mixture,mixture,order:Primates,72-95
A0A2K6JSW9_IPR016054_1_21-96,Ly6,monomer,order:Primates,72-95
A0A2K6TAE6_IPR016054_1_51-142,mixture,multimer,order:Primates,72-95
A0A2U9CXV5_IPR045860_1_18-106,Ly6,monomer,genus:Scophthalmus,72-95
A0A2Y9FA95_IPR016054_1_26-109,none,monomer,order:Artiodactyla,72-95
A0A3B3ZUI7_IPR016054_1_22-102,none,monomer,genus:Periophthalmus,72-95
A0A3B4YGU0_IPR016054_1_20-113,mixture,monomer,class:Actinopteri,72-95
A0A3Q2Q2Z7_IPR045860_2_82-149,Ly6,multimer,genus:Fundulus,50-72
A0A3Q3SLD3_IPR045860_1_110-187,Ly6,multimer,genus:Mastacembelus,72-95
A0A452F5L6_IPR016054_3_48-111,mixture,multimer,order:Artiodactyla,50-72
A0A4D9DJB4_IPR045860_3_967-1053,mixture,multimer,order:Testudines,72-95
A0A4W2GEU1_IPR016054_2_19-108,mixture,multimer,order:Artiodactyla,72-95
A0A553QYY0_IPR016054_1_82-159,Ly6,multimer,genus:Danionella,72-95
A0A671XIT9_IPR016054_1_113-195,Ly6,multimer,class:Actinopteri,72-95
A0A672IQ91_IPR016054_2_693-783,Ly6,multimer,genus:Salarias,72-95
A0A674P419_IPR016054_1_59-156,Ly6,monomer,genus:Takifugu,95-117
A0A6A5F420_IPR045860_1_107-173,mixture,mixture,genus:Perca,50-72
A0A6I8PU52_IPR016054_1_117-216,Ly6,multimer,genus:Xenopus,95-117
A0A6J0VAA2_IPR016054_1_23-114,Ly6,multimer,genus:Pogona,72-95
A0A6J0VRM0_IPR045860_1_138-230,Ly6,mixture,class:Mammalia,72-95
A0A6J1XM18_IPR016054_2_53-112,mostly_Ly6,multimer,class:Mammalia,50-72
A0A6J2F7W0_IPR051445_1_30-194,Ly6,monomer,genus:Zalophus,162-185
A0A6J2NHN2_IPR051445_1_1-150,Ly6,monomer,family:Phyllostomidae,140-162
A0A6J3DA86_IPR045860_1_21-76,Ly6,monomer,genus:Aythya,50-72
A0A6P5A2A8_IPR045860_2_37-126,Ly6,multimer,genus:Branchiostoma,72-95
A0A6P6CUE5_IPR016054_1_46-125,Ly6,monomer,genus:Pteropus,72-95
A0A6P7P0V5_IPR045860_1_18-104,Ly6,monomer,genus:Betta,72-95
A0A6P8IU32_IPR045860_1_19-110,Ly6,monomer,genus:Actinia,72-95
A0A7F8QAG4_IPR045860_1_89-140,Ly6,multimer,class:Mammalia,50-72
A0A7J6A6J2_IPR016054_1_108-184,Ly6,mixture,family:Ictaluridae,72-95
A0A7J6BVM4_IPR016054_2_20-105,none,multimer,genus:Onychostoma,72-95
A0A7J7F092_IPR016054_1_12-74,Ly6,monomer,genus:Diceros,50-72
A0A803JC73_IPR045860_2_18-106,Ly6,multimer,genus:Xenopus,72-95
A0A803JTK6_IPR045860_1_154-240,Ly6,multimer,genus:Xenopus,72-95
A0A834DHQ8_IPR016054_1_147-224,mostly_Ly6,monomer,class:Mammalia,72-95
A0A8B6ZZJ7_IPR016054_3_211-306,mixture,mixture,class:Mammalia,72-95
A0A8B8CZR5_IPR016054_1_124-200,none,multimer,genus:Crassostrea,72-95
A0A8B9K720_IPR016054_1_154-238,Ly6,multimer,genus:Astyanax,72-95
A0A8C0H8Y4_IPR045860_2_25-120,mostly_Ly6,multimer,order:Testudines,95-117
A0A8C2MS34_IPR016054_1_20-96,mostly_Ly6,monomer,class:Mammalia,72-95
A0A8C4RVM3_IPR045860_1_26-106,Ly6,monomer,genus:Erpetoichthys,72-95
A0A8C5AMK2_IPR016054_1_28-121,none,monomer,genus:Gadus,72-95
A0A8C5R919_IPR045860_2_110-195,Ly6,multimer,genus:Leptobrachium,72-95
A0A8C6M699_IPR016054_1_19-86,Ly6,monomer,genus:Nothobranchius,50-72
A0A8C6VGI3_IPR045860_1_17-103,none,multimer,genus:Naja,72-95
A0A8C8URL7_IPR051445_1_2-140,Ly6,monomer,genus:Peromyscus,117-140
A0A8D0HIM1_IPR045860_2_48-140,Ly6,multimer,genus:Sphenodon,72-95
A0A8D0U4N9_IPR016054_3_314-390,Ly6,multimer,genus:Sus,72-95
A0A8I6A9C9_IPR016054_1_190-250,Ly6,monomer,genus:Rattus,50-72
A0A8J1LDN8_IPR045860_2_117-197,Ly6,multimer,genus:Xenopus,72-95
A0A8R1YLV9_IPR016054_1_5-66,Ly6,multimer,genus:Pristionchus,50-72
A0A8T0B7Y6_IPR016054_1_24-117,Ly6,monomer,genus:Silurus,72-95
A0A8T1TAT9_IPR016054_1_131-213,none,monomer,order:Testudines,72-95
A0A8U0UVH9_IPR016054_1_27-123,Ly6,monomer,genus:Mustela,95-117
A0A913WW10_IPR045860_2_17-109,Ly6,multimer,genus:Exaiptasia,72-95
A0A974CDU6_IPR045860_1_17-166,Ly6,monomer,genus:Xenopus,140-162
A0A9F2R1B0_IPR045860_1_16-97,none,monomer,genus:Python,72-95
A0A9J7K4W1_IPR016054_5_119-174,Ly6,multimer,family:Cricetidae,50-72
A0A9Q0X786_IPR045860_1_18-96,Ly6,monomer,genus:Phrynocephalus,72-95
A0A9Q1IAQ4_IPR045860_2_19-103,Ly6,multimer,class:Actinopteri,72-95
A0A9X0A5V7_IPR016054_2_19-114,Ly6,multimer,genus:Desmophyllum,95-117
A0AA35KMU1_IPR045860_1_18-105,Ly6,multimer,genus:Podarcis,72-95
A0AA35P9W0_IPR045860_1_236-326,Ly6,multimer,genus:Podarcis,72-95
A0AA97JB89_IPR016054_1_25-108,none,monomer,order:Squamata,72-95
A0AA97LHQ0_IPR045860_1_118-196,Ly6,multimer,genus:Eublepharis,72-95
A0AAD1TA13_IPR045860_1_11-72,Ly6,monomer,genus:Pelobates,50-72
A0AAD1WQC3_IPR045860_5_371-454,Ly6,multimer,genus:Pelobates,72-95
A0AAN8LJ44_IPR016054_1_113-199,Ly6,multimer,family:Salmonidae,72-95
A0AAN9Z724_IPR016054_1_20-119,Ly6,monomer,genus:Gryllus,95-117
A0AAQ6IRA5_IPR016054_1_89-156,Ly6,multimer,genus:Anabas,72-95
A0AAV1FFG0_IPR016054_1_59-148,Ly6,mixture,genus:Xyrichtys,72-95
A0AAV1PXF2_IPR016054_1_386-473,Ly6,multimer,genus:Scomber,72-95
A0AAV2ZN45_IPR045860_1_113-200,Ly6,multimer,genus:Pyxicephalus,72-95
A0AAV5TGY1_IPR045860_1_9-91,mixture,monomer,genus:Pristionchus,72-95
A0AAV6YM01_IPR016054_1_27-110,none,monomer,genus:Engystomops,72-95
A0AAV6ZF17_IPR045860_2_71-129,Ly6,multimer,genus:Engystomops,50-72
A0AAV6ZMC0_IPR045860_1_18-105,Ly6,multimer,genus:Engystomops,72-95
A0AAV7BC14_IPR045860_2_18-102,Ly6,multimer,genus:Engystomops,72-95
A0AAV7Q439_IPR016054_1_135-230,Ly6,multimer,genus:Pleurodeles,95-117
A0AAW0N2N6_IPR045860_2_73-165,Ly6,multimer,genus:Mugilogobius,72-95
A0AAY4C951_IPR016054_1_32-112,Ly6,monomer,genus:Denticeps,72-95
A6HS05_IPR051445_1_2-93,Ly6,monomer,genus:Rattus,72-95
F7F5G6_IPR045860_2_133-217,Ly6,multimer,genus:Ornithorhynchus,72-95
G1LV79_IPR051445_1_1-134,Ly6,monomer,order:Carnivora,117-140
G5C8Y1_IPR016054_1_34-117,Ly6,monomer,genus:Heterocephalus,72-95
L5KN04_IPR016054_2_14-83,Ly6,multimer,class:Mammalia,50-72
L9L7J1_IPR016054_1_24-151,none,multimer,genus:Tupaia,117-140
M3XHV4_IPR016054_1_116-208,Ly6,multimer,genus:Latimeria,72-95
M7AS78_IPR045860_1_18-104,mixture,monomer,phylum:Chordata,72-95
Q2I168_IPR016054_1_22-106,none,monomer,genus:Ictalurus,72-95
Q9I8P7_IPR045860_2_18-104,mixture,mixture,family:Pythonidae,72-95
A0A2K5H857_IPR026524_1_1-269,none,monomer,genus:Colobus,252-275
A0ABD2F034_IPR026524_1_1-71,mixture,monomer,class:Mammalia,72-95
A0A1A8MWW2_IPR039457_1_5-153,Ly6,monomer,genus:Nothobranchius,140-162
A0A7R8ZAH5_IPR039457_1_18-166,mixture,monomer,genus:Timema,140-162
A0A8C5SV90_IPR039457_1_17-146,Ly6,monomer,genus:Laticauda,117-140
A0A090LTF9_IPR031424_1_41-154,Quiver,monomer,family:Strongyloididae,95-117
A0A0A9WZJ0_IPR045860_1_23-123,mixture,monomer,order:Hemiptera,95-117
A0A0K2UEK0_IPR031424_2_725-821,none,multimer,genus:Lepeophtheirus,95-117
A0A0L8GGG8_IPR045860_1_21-112,none,monomer,genus:Octopus,72-95
A0A0N4XEH7_IPR031424_1_22-147,none,monomer,genus:Nippostrongylus,117-140
A0A0V1BF13_IPR031424_1_87-183,Quiver,monomer,genus:Trichinella,95-117
A0A131XF01_IPR031424_1_27-115,none,monomer,family:Ixodidae,72-95
A0A182NUD3_IPR031424_1_24-139,none,monomer,family:Culicidae,95-117
A0A1B0GGY4_IPR031424_1_28-123,none,monomer,family:Psychodidae,95-117
A0A1B6FYK1_IPR031424_1_26-122,none,monomer,genus:Cuerna,95-117
A0A1D1V940_IPR031424_1_28-116,none,monomer,genus:Ramazzottius,72-95
A0A1D2NLN9_IPR031424_1_47-153,none,monomer,genus:Orchesella,95-117
A0A1I7XDN2_IPR031424_1_46-157,Quiver,monomer,genus:Heterorhabditis,95-117
A0A1I8JCY9_IPR031424_1_64-153,none,monomer,genus:Macrostomum,72-95
A0A1I8P3J7_IPR045860_1_28-129,none,monomer,family:Muscidae,95-117
A0A1J1IW21_IPR031424_1_29-128,none,monomer,genus:Clunio,95-117
A0A1L8DNE9_IPR031424_1_21-122,none,monomer,genus:Nyssomyia,95-117
A0A1L8EJ84_IPR031424_1_23-127,none,mixture,family:Muscidae,95-117
A0A1S8X7E3_IPR031424_1_20-106,Quiver,monomer,family:Opisthorchiidae,72-95
A0A1W0X3M7_IPR031424_1_143-233,Quiver,monomer,genus:Hypsibius,72-95
A0A1Y0F4C3_IPR031424_1_23-120,mixture,monomer,class:Insecta,95-117
A0A226EQL2_IPR031424_1_30-144,none,monomer,genus:Folsomia,95-117
A0A2A2LM19_IPR031424_1_25-114,none,monomer,genus:Diploscapter,72-95
A0A2C9KU83_IPR031424_1_27-114,none,monomer,genus:Biomphalaria,72-95
A0A2T7Q0S5_IPR031424_1_6-103,none,monomer,genus:Pomacea,95-117
A0A3M7RG67_IPR031424_1_27-112,none,monomer,genus:Brachionus,72-95
A0A3R7NSS1_IPR031424_1_28-124,mixture,monomer,class:Malacostraca,95-117
A0A443QY55_IPR031424_1_1-74,none,monomer,genus:Dinothrombium,72-95
A0A4Y7MX66_IPR031424_1_13-124,mixture,monomer,phylum:Arthropoda,95-117
A0A553NUE4_IPR031424_1_95-179,Quiver,monomer,genus:Tigriopus,72-95
A0A6I8UXP0_IPR031424_1_20-124,none,monomer,genus:Drosophila,95-117
A0A6J3L061_IPR031424_1_24-127,mixture,mixture,phylum:Arthropoda,95-117
A0A6P4F976_IPR031424_1_25-121,mixture,monomer,class:Insecta,95-117
A0A6P6YI89_IPR031424_1_33-136,none,monomer,class:Arachnida,95-117
A0A7R8WK30_IPR031424_1_24-127,mixture,monomer,phylum:Arthropoda,95-117
A0A7R9BXE1_IPR031424_1_22-125,Quiver,monomer,genus:Notodromas,95-117
A0A7R9HYW2_IPR031424_1_6-100,none,monomer,genus:Timema,95-117
A0A813PBH6_IPR045860_1_23-116,mixture,monomer,class:Eurotatoria,72-95
A0A814MD76_IPR045860_1_21-102,none,monomer,genus:Adineta,72-95
A0A820IC74_IPR031424_1_22-88,Quiver,monomer,genus:Adineta,50-72
A0A834I2M4_IPR031424_1_22-116,none,monomer,genus:Rhynchophorus,72-95
A0A834XPF7_IPR031424_1_24-128,none,monomer,genus:Aphidius,95-117
A0A8B6CIN0_IPR031424_1_23-138,mixture,monomer,genus:Mytilus,95-117
A0A8B7P9Z5_IPR031424_1_21-120,none,monomer,genus:Hyalella,95-117
A0A8B8IXF5_IPR031424_1_22-131,none,monomer,family:Nymphalidae,95-117
A0A8D8TAZ3_IPR031424_1_20-131,mixture,monomer,phylum:Arthropoda,95-117
A0A8I6RI23_IPR031424_1_27-133,none,monomer,genus:Cimex,95-117
A0A8J2H5V1_IPR031424_1_29-148,none,monomer,genus:Cotesia,117-140
A0A8K0GF44_IPR031424_1_24-141,none,monomer,genus:Ignelater,117-140
A0A8S0Z9J4_IPR031424_1_405-502,none,monomer,order:Lepidoptera,95-117
A0A8S1CCR9_IPR031424_1_91-198,none,monomer,genus:Cloeon,95-117
A0A8X6G371_IPR031424_1_28-120,mixture,monomer,order:Araneae,72-95
A0A914B468_IPR031424_1_19-112,Ly6,monomer,genus:Patiria,72-95
A0A914W7U5_IPR031424_1_31-123,none,monomer,genus:Plectus,72-95
A0A9D4FIS8_IPR031424_1_24-87,none,monomer,genus:Dreissena,50-72
A0A9J6CMM3_IPR031424_1_21-112,none,multimer,genus:Polypedilum,72-95
A0A9J7E3W1_IPR031424_1_24-137,none,monomer,order:Lepidoptera,95-117
A0A9P0F465_IPR031424_1_22-111,none,monomer,genus:Bemisia,72-95
A0A9W2ZQU8_IPR045860_1_21-116,mixture,monomer,class:Gastropoda,72-95
A0AA38HY41_IPR031424_1_139-222,none,monomer,genus:Zophobas,72-95
A0AA39H1R5_IPR045860_1_21-113,none,monomer,genus:Steinernema,72-95
A0AA85BKM1_IPR031424_1_21-144,mixture,monomer,class:Trematoda,117-140
A0AAD4PMP9_IPR031424_1_10-116,none,monomer,family:Drosophilidae,95-117
A0AAD7YTB9_IPR045860_1_21-123,Quiver,monomer,genus:Mythimna,95-117
A0AAD9PC26_IPR031424_1_20-109,none,monomer,genus:Ridgeia,72-95
A0AAE0T514_IPR045860_1_22-102,Quiver,monomer,genus:Potamilus,72-95
A0AAE2D1T3_IPR031424_1_21-117,mixture,monomer,phylum:Platyhelminthes,95-117
A0AAJ7BM76_IPR031424_1_78-166,none,monomer,genus:Cephus,72-95
A0AAN7VAI9_IPR045860_1_21-101,Quiver,monomer,genus:Pyrocoelia,72-95
A0AAV1ZGU2_IPR031424_1_18-130,mixture,monomer,order:Araneae,95-117
A0AAV4RF83_IPR031424_1_16-72,Quiver,monomer,genus:Caerostris,50-72
A0AAV5UID1_IPR031424_1_7-80,none,monomer,genus:Pristionchus,72-95
A0AAW2HS28_IPR045860_1_17-103,SPF,monomer,genus:Menopon,72-95
A0ABD0L0E5_IPR031424_1_24-115,none,monomer,genus:Batillaria,72-95
A0ABD0YVW7_IPR031424_1_2-96,mixture,monomer,order:Hemiptera,95-117
A0ABD1FGE5_IPR031424_1_31-134,none,monomer,family:Curculionidae,95-117
D3TS04_IPR031424_1_31-132,none,monomer,genus:Glossina,95-117
Q9VIH9_IPR031424_1_24-124,mixture,monomer,genus:Drosophila,95-117
T1FUE6_IPR045860_2_183-273,none,multimer,genus:Helobdella,72-95
T1JIA1_IPR031424_1_20-101,none,monomer,genus:Strigamia,72-95
A0A4X1UWX6_IPR051445_1_146-235,mixture,monomer,class:Mammalia,72-95
A0A026W1P1_IPR045860_1_56-164,none,monomer,family:Formicidae,95-117
A0A087TKJ5_IPR045860_1_7-107,none,monomer,genus:Stegodyphus,95-117
A0A087YFA6_IPR045860_1_17-98,none,monomer,family:Poeciliidae,72-95
A0A094ZVV6_IPR045860_1_28-96,Ly6,monomer,genus:Schistosoma,50-72
A0A0A1X3G2_IPR045860_1_37-135,none,monomer,family:Tephritidae,95-117
A0A0C2HA97_IPR045860_1_21-103,none,monomer,genus:Ancylostoma,72-95
A0A0F8B4V0_IPR045860_1_18-80,mixture,monomer,family:Sciaenidae,50-72
A0A0M4E498_IPR045860_1_69-178,none,monomer,genus:Drosophila,95-117
A0A0N4V1D2_IPR045860_1_21-93,none,monomer,genus:Enterobius,72-95
A0A0N5AED0_IPR045860_1_33-100,none,monomer,genus:Syphacia,50-72
A0A0P4W8U5_IPR045860_1_39-147,none,monomer,order:Decapoda,95-117
A0A0R3WIH7_IPR045860_1_5-95,none,monomer,genus:Hydatigera,72-95
A0A0V1BHY9_IPR045860_1_40-132,none,monomer,genus:Trichinella,72-95
A0A0V1H400_IPR045860_1_39-125,none,monomer,genus:Trichinella,72-95
A0A147BTD3_IPR045860_1_12-96,none,mixture,genus:Ixodes,72-95
A0A158Q3M5_IPR045860_1_14-80,none,monomer,genus:Dracunculus,50-72
A0A183C3J0_IPR045860_1_1-63,none,monomer,genus:Globodera,50-72
A0A1B0GXA9_IPR045860_1_21-86,none,monomer,class:Mammalia,50-72
A0A1D2MFS0_IPR045860_1_23-141,none,monomer,genus:Orchesella,117-140
A0A1I7Y468_IPR045860_1_16-117,none,monomer,genus:Steinernema,95-117
A0A1I8BDQ0_IPR045860_1_35-112,none,monomer,order:Rhabditida,72-95
A0A1L8DK39_IPR045860_1_35-143,none,monomer,family:Psychodidae,95-117
A0A1X7VDD8_IPR045860_1_128-242,none,multimer,genus:Amphimedon,95-117
A0A210QJ17_IPR045860_1_35-127,none,monomer,genus:Mizuhopecten,72-95
A0A212FHK2_IPR045860_1_299-380,none,monomer,genus:Danaus,72-95
A0A2B4S3U5_IPR045860_1_7-69,none,monomer,genus:Stylophora,50-72
A0A2C9LIC0_IPR045860_1_2301-2371,none,monomer,genus:Biomphalaria,50-72
A0A2I3SXH2_IPR045860_1_25-101,none,monomer,order:Primates,50-72
A0A2Z6BDU1_IPR045860_1_59-175,none,monomer,genus:Athalia,95-117
A0A384CI68_IPR045860_1_20-120,none,monomer,class:Mammalia,95-117
A0A3B4EHE8_IPR045860_1_18-94,Ly6,monomer,genus:Pygocentrus,72-95
A0A3P9GYL4_IPR045860_2_195-282,none,mixture,class:Actinopteri,72-95
A0A3Q0RBF4_IPR045860_1_5-89,none,monomer,genus:Amphilophus,72-95
A0A3Q1FH01_IPR045860_1_11-88,Ly6,monomer,genus:Acanthochromis,72-95
A0A3Q3MPX9_IPR045860_1_1-63,Ly6,monomer,genus:Mastacembelus,50-72
A0A3S1A7L4_IPR045860_1_37-138,none,monomer,genus:Elysia,95-117
A0A4C1XRM6_IPR045860_1_40-151,none,monomer,genus:Eumeta,95-117
A0A4E0R298_IPR045860_1_14-94,Ly6,monomer,genus:Fasciola,72-95
A0A4U5NHD1_IPR045860_1_2-61,Ly6,monomer,genus:Steinernema,50-72
A0A4V6AM65_IPR045860_1_189-273,none,multimer,class:Actinopteri,72-95
A0A4Z2GPK0_IPR045860_1_2-55,mostly_Ly6,monomer,phylum:Chordata,50-72
A0A5C6NY14_IPR045860_1_19-101,none,monomer,family:Tetraodontidae,72-95
A0A5S6QZV4_IPR045860_1_34-155,mixture,monomer,genus:Trichuris,117-140
A0A663E296_IPR045860_1_37-122,none,monomer,genus:Aquila,72-95
A0A667YUN3_IPR045860_1_31-109,none,monomer,class:Actinopteri,72-95
A0A669BVS0_IPR045860_1_39-98,none,monomer,genus:Oreochromis,50-72
A0A670IQ35_IPR045860_1_143-225,mixture,multimer,genus:Podarcis,72-95
A0A671S368_IPR045860_1_4-78,none,monomer,genus:Sinocyclocheilus,72-95
A0A672KJX4_IPR045860_1_18-81,none,monomer,genus:Sinocyclocheilus,50-72
A0A672NNJ7_IPR045860_1_13-78,none,monomer,family:Cyprinidae,50-72
A0A6A5HT37_IPR045860_1_28-99,mixture,monomer,family:Rhabditidae,72-95
A0A6B2EBX1_IPR045860_1_17-114,none,monomer,genus:Phlebotomus,95-117
A0A6I8SX38_IPR045860_1_25-102,none,monomer,genus:Xenopus,72-95
A0A6J0VA93_IPR045860_2_125-221,none,multimer,family:Agamidae,95-117
A0A6J2KCS5_IPR045860_1_61-159,none,monomer,genus:Bombyx,95-117
A0A6J2UHC8_IPR045860_1_152-227,none,monomer,order:Diptera,72-95
A0A6J2VZG5_IPR045860_1_29-142,none,monomer,genus:Chanos,95-117
A0A6P4ZHL9_IPR045860_1_19-100,mixture,mixture,genus:Branchiostoma,72-95
A0A6P8H3A5_IPR045860_1_18-100,none,monomer,genus:Actinia,72-95
A0A6P8LY25_IPR045860_1_10-121,none,monomer,family:Apidae,95-117
A0A6P8QG64_IPR045860_1_1-66,none,monomer,genus:Geotrypetes,50-72
A0A6S7HQX9_IPR045860_1_26-124,none,monomer,genus:Paramuricea,95-117
A0A7E4VZJ9_IPR045860_1_57-175,none,monomer,genus:Panagrellus,117-140
A0A7G3AGZ0_IPR045860_1_4-85,none,monomer,genus:Lutzomyia,72-95
A0A7I8VIA7_IPR045860_1_60-153,none,monomer,genus:Dimorphilus,72-95
A0A7J6A0W0_IPR045860_1_22-123,none,monomer,order:Siluriformes,95-117
A0A7J6B564_IPR045860_1_51-133,none,monomer,class:Actinopteri,72-95
A0A7K4VZD1_IPR045860_1_3-103,none,monomer,phylum:Chordata,95-117
A0A7K5FZ12_IPR045860_1_1-63,none,monomer,genus:Probosciger,50-72
A0A7L0ZBU3_IPR045860_1_1-115,none,monomer,class:Aves,95-117
A0A7M7L7E2_IPR045860_2_145-210,none,multimer,genus:Apis,50-72
A0A7R8H4S6_IPR045860_1_156-258,none,monomer,genus:Lepeophtheirus,95-117
A0A7S3DHX5_IPR045860_1_233-295,none,monomer,genus:Palpitomonas,50-72
A0A814NJQ3_IPR045860_1_26-90,Ly6,monomer,genus:Brachionus,50-72
A0A815DI12_IPR045860_1_21-92,none,mixture,genus:Rotaria,50-72
A0A818U1Q8_IPR045860_1_19-123,none,monomer,class:Eurotatoria,95-117
A0A819E9G0_IPR045860_2_96-163,none,mixture,genus:Rotaria,50-72
A0A821DEK8_IPR045860_1_13-92,mixture,monomer,genus:Rotaria,72-95
A0A833ZYG0_IPR045860_1_27-77,none,monomer,genus:Phyllostomus,50-72
